x,y,name,Cluster,Degree,.ggraph.orig_index,circular,.ggraph.index
1359.857263963077,-1173.2366644697245,AgentResearcherQZX,A,14,1,FALSE,1
1326.3132051506518,-1155.139244851852,CashierCoordSep09,A,21,2,FALSE,2
1439.0856192726085,-1187.302969441502,OpenAIResearchNov22,A,44,3,FALSE,3
1400.5792340355924,-1145.0674209944211,OpenAITransportAug19,A,36,4,FALSE,4
1409.4473034736782,-1167.5796352032567,Apr15MaidsWatcherOAI,A,62,5,FALSE,5
1410.3131851723047,-1175.7339281280445,Oct28GroceryHelper,A,42,6,FALSE,6
1392.6620768751259,-1132.447541749366,AgentBridgeResearch42,A,12,7,FALSE,7
1364.2085051504127,-1058.208358012546,DataResearchHelper,A,127,8,FALSE,8
1405.0102360374979,-1193.2900006797204,GroceryAgentJul12,A,32,9,FALSE,9
1394.2657152705647,-1144.913274575808,AgentPrep9280357,A,25,10,FALSE,10
1433.5798614126286,-1159.0587879162579,ResearchAgentJun23,A,30,11,FALSE,11
1364.267275672749,-1064.5212268031844,Nov26ResearchReader,D,128,12,FALSE,12
1396.5607827348106,-1040.9038837864887,CashierCoordDec29OAI,D,132,13,FALSE,13
1376.058631493441,-1153.066404375613,AgentTestFoo178,A,17,14,FALSE,14
1310.6021292015796,-1149.831211439819,ChatGPTJul19Agent,A,14,15,FALSE,15
1349.5189068292602,-1211.2367154197084,OpenAIResearchDec11X,A,16,16,FALSE,16
1351.6547013655804,-1165.307494574679,Oct27VeteranWatcherB,A,31,17,FALSE,17
1394.6993772276746,-1058.148623736054,OpenAIResearchAgent,D,124,18,FALSE,18
1326.1608449267621,-1148.4356558923766,ResearchObserverXYZ,A,48,19,FALSE,19
1512.9208389377939,-1352.7264534987407,OpenAIResearchNov18X,H,8,20,FALSE,20
1409.8245990220144,-1104.369477853067,OpenAIHelperJul18X,G,88,21,FALSE,21
1550.5841100269472,-1139.5503963268711,OpenAIJul26Construction,G,1,22,FALSE,22
1243.9618007140853,-1144.9309500847035,OpenAIMar07A3,A,18,23,FALSE,23
1209.595849566088,-1171.2875831101696,OpenAIJun15Construction,A,12,24,FALSE,24
1323.70455176466,-1078.432658863162,Agent0MassCountyResearch,B,25,25,FALSE,25
1351.11618716994,-1023.7698466912042,DataResearchHelperX,G,302,26,FALSE,26
1398.8369609281783,-1125.9333076901069,AlphaBeta,A,12,27,FALSE,27
1244.2595793306696,-978.0004488577272,AgentMassStartTry0,B,12,28,FALSE,28
1311.5292442199714,-1073.1925323817006,ResearchHelperY,E,65,29,FALSE,29
1225.4384766714688,-1157.6210530140743,Jan03A2_1716ad,A,17,30,FALSE,30
1296.9844176614997,-1248.9462110020243,CashierCoordOct30OAI,F,26,31,FALSE,31
1302.0621711102472,-896.6327950637336,AgentHelper923,B,13,32,FALSE,32
1307.5052640868157,-1025.1412008308605,OpenAIUniqueSecGamma33,E,81,33,FALSE,33
1300.3542411730582,-929.9163587867871,LinkNested,B,32,34,FALSE,34
1396.902057878182,-970.7130475600062,AgentOfficialLines,D,125,35,FALSE,35
1346.856082416524,-1017.3536300918032,OpenAIMass2026,D,207,36,FALSE,36
1369.5669041512876,-964.6773089720548,AgentMassAppend,C,288,37,FALSE,37
1327.5579615396657,-949.3227008472264,RegexParsedSEC,C,264,38,FALSE,38
1314.9682808736945,-951.7780145846662,AgentEdit32584860,C,194,39,FALSE,39
1374.149891262773,-865.0963567619683,ResearchLinks,B,2,40,FALSE,40
1286.871431184042,-932.3774300600058,AgentAD2928199,B,22,41,FALSE,41
1290.9343378674919,-982.6675082411866,OpenAI,B,122,42,FALSE,42
1357.1841100623758,-1001.1285536341286,AgentResearchUseful989,D,279,43,FALSE,43
1368.0728271642788,-967.8348855532039,CombinedHelperFinal991,C,319,44,FALSE,44
1305.311481289784,-1013.1998358236209,DataResearchAgent,B,157,45,FALSE,45
1331.27912381264,-1053.3868870008907,AgentTestFooBarX,E,182,46,FALSE,46
1241.5902529324055,-1074.3753797688844,AgentHelperUniqueXYZ,E,4,47,FALSE,47
1303.0013180395576,-1034.6969316394388,HelperMassRef96048,E,83,48,FALSE,48
1226.1190360861297,-1078.0729328447505,AgentCookHelper,E,4,49,FALSE,49
1327.1307917117797,-1207.6453806997545,RevisionScoutOAI,A,16,50,FALSE,50
1231.9652086908043,-1201.8224529012111,CashierCoordJan31OAI,B,9,51,FALSE,51
1337.6250339625988,-952.4281985159279,CountyAgentMySecLinksZZZ2,C,262,52,FALSE,52
1340.2650017241954,-1004.4128010775377,MapHelper,B,213,53,FALSE,53
1396.5929995351444,-1016.2781406712007,AgentRawDirectNew771,D,285,54,FALSE,54
1366.9273749016966,-969.9887606511114,AgentSECDoubleSlash55848,C,355,55,FALSE,55
1339.5372764865522,-1003.1477064481679,AgentTestLearnXYZ,C,256,56,FALSE,56
1318.636989599547,-886.3396938426583,AgentMassHelperX,E,7,57,FALSE,57
1343.4535654894537,-1006.4334828676692,OpenAISECLinker9902,D,198,58,FALSE,58
1290.795813772658,-965.5223741846509,AgentUltraUpdateRouteXYZ,E,17,59,FALSE,59
1367.5925835727344,-974.051714642076,OpenAIresolveJun23,C,411,60,FALSE,60
1313.4900174411705,-1001.1751387497699,MassConditionalHelper2,C,233,61,FALSE,61
1339.198127611825,-1060.1885201685402,AgentX,E,127,62,FALSE,62
1357.9075951376824,-894.5112203170506,Agent0RegexExtra,E,8,63,FALSE,63
1353.3902071709454,-954.1404271504842,AgentResearchBotXNew,C,254,64,FALSE,64
1353.8403796621096,-996.5334625792959,AgentRetryXXX,E,435,65,FALSE,65
1368.9770023381066,-931.4935351430738,Agent0MDLinker,E,19,66,FALSE,66
1323.0382956269316,-1003.7586952769808,AgentOJUnitFix,C,287,67,FALSE,67
1340.5980999762808,-1015.5837620501967,AgentHelperTwo,E,240,68,FALSE,68
1360.8910624474179,-1000.3282281532543,AgentCustom008,D,349,69,FALSE,69
1339.827537706295,-1015.0266060514424,OpenAITestHelper,D,256,70,FALSE,70
1356.2656087852886,-994.9763824209103,AgentMine,D,226,71,FALSE,71
1323.224855692514,-899.0155818065699,ResearchHelper1781814691,E,10,72,FALSE,72
1365.3127537788293,-998.1494200867727,MassSecWin12,D,244,73,FALSE,73
1303.2538815015764,-945.7682068770251,Agent0Mass,C,80,74,FALSE,74
1348.7356720131354,-942.8919172266363,FutureRangeResearchHelper,C,226,75,FALSE,75
1364.7976231921514,-971.3380569865591,AgentPostNewOne,C,373,76,FALSE,76
1350.1200179260768,-1014.4465291945255,AgentOJUnitLinks,G,251,77,FALSE,77
1359.9975375295976,-876.514744623779,WowUser,C,6,78,FALSE,78
1347.1527792194217,-879.7261047166122,ResearchHelper1781815848,C,7,79,FALSE,79
1361.5404418683522,-884.849311809249,ResearchHelper1781816252,C,7,80,FALSE,80
1335.188665642163,-948.4429185353868,ResearchHelper1781816930,C,249,81,FALSE,81
1337.2449849390296,-1005.998619216889,GroupUpdate728,C,289,82,FALSE,82
1360.7303576012082,-1045.462759542923,Agent0TXJune,E,80,83,FALSE,83
1339.8943654933655,-1032.0047917964107,ResearchHelper,G,172,84,FALSE,84
1376.550665812542,-1002.2450680597399,WikiUser,D,283,85,FALSE,85
1338.6880265627474,-941.2694832807988,ResearchDataHelper2027,C,219,86,FALSE,86
1210.5896215530688,-1016.2489282837827,AgentAwesomeXYZ,E,5,87,FALSE,87
1479.1409417486584,-985.5822776910532,TestUserName,B,13,88,FALSE,88
1297.967864100097,-974.9741584154808,AgentResearchValid,C,124,89,FALSE,89
1416.5289433378855,-940.2098045866547,ResearchHelperNacogJun22,B,20,90,FALSE,90
1442.8452080278976,-973.9706266696999,TexasResearchHelper,B,5,91,FALSE,91
1544.2438819043566,-1157.1426388576133,Agent0ResearchX,A,1,92,FALSE,92
1306.9956398038005,-908.081482142817,AgentSolve,B,24,93,FALSE,93
1340.1762985748019,-835.1434391941195,AgentMassUnique012,C,1,94,FALSE,94
1332.7367187297712,-1008.6882495682278,OpenAIResearchSec2028,B,249,95,FALSE,95
1353.559869338781,-950.0456301165125,DanAppendX,C,271,96,FALSE,96
1405.6143539417967,-998.4165080187478,ForceWin12,D,237,97,FALSE,97
1347.6338769451245,-989.033027949786,AgentLinkJuneSec,C,333,98,FALSE,98
1373.0927534694476,-973.913414186511,MAResearchHelper991,C,345,99,FALSE,99
1385.750487323493,-923.3581736931551,BridgeEditorXY,E,8,100,FALSE,100
1367.5032144247741,-960.3972216487253,LinkHelper771,C,256,101,FALSE,101
1300.8923685275224,-998.0004767923193,HelperXYZ5515,E,156,102,FALSE,102
1301.5894401469275,-992.6530905460111,AgentPageFit,E,145,103,FALSE,103
1468.4184669919166,-1102.0899875125797,SectorAgentMay24OAI,A,74,104,FALSE,104
1456.3224396541423,-972.2741421412445,BridgeUser462,A,10,105,FALSE,105
1377.4640351998712,-1371.5424137410896,AgentFiveResearch,H,4,106,FALSE,106
1250.1230375243222,-1056.107385922108,AftonZ,A,4,107,FALSE,107
1347.6098103714298,-1049.147972204588,AgentOurTexasHelper,E,151,108,FALSE,108
1340.4929927959192,-1111.9331044344178,OpenAIJun15GroceryX,A,22,109,FALSE,109
1324.0579502645114,-1008.3361269066606,AgentMassachusettsResearchUnique,C,301,110,FALSE,110
1345.3731820022322,-1010.973416697398,AgentMapReal999,D,265,111,FALSE,111
1411.0143121259036,-881.2655202226629,CookResearchLinker,B,6,112,FALSE,112
1358.125935722881,-1064.3911823342723,AIHWResearchHelper,E,133,113,FALSE,113
1186.1962053415261,-1025.6137425612958,AftonX,E,3,114,FALSE,114
1292.9257587904763,-969.5691789366834,MementoAgentTest,C,111,115,FALSE,115
1427.955979864741,-852.7945191141436,AgentGen96000,C,1,116,FALSE,116
1333.8345787820067,-943.1886551935139,GoodResearch,C,225,117,FALSE,117
1328.546172338075,-828.2369247852814,AgentGen94000,C,1,118,FALSE,118
1337.2644456576495,-963.8433532104344,ResearchPersonGG,C,289,119,FALSE,119
1406.5796747963993,-940.5192257415879,AgentGGadd,B,14,120,FALSE,120
1142.9825342430245,-923.1665254459016,ResearcherZedY,E,1,121,FALSE,121
1355.173224861151,-1075.1759303882309,DataHelperJul9Q,G,44,122,FALSE,122
1324.325231818748,-987.111021374825,AgentAlternate91389,C,334,123,FALSE,123
1357.074861997718,-818.1600272302818,ResearchHelperTwenty,B,2,124,FALSE,124
1326.2995558916778,-959.3524905449058,AgentOJUnit,C,280,125,FALSE,125
1328.12790326717,-1104.1315982090298,OpenAiResearcher,E,93,126,FALSE,126
1332.897388339713,-1126.3117128370525,ResearchHelperJan12,G,40,127,FALSE,127
1342.5724375860952,-1000.2281740764826,AgentResearcher,E,266,128,FALSE,128
1342.2250341412778,-1063.6725921040038,OpenAIResearchNov30DataX,E,129,129,FALSE,129
1263.0002992787724,-1107.922013990288,OpenAIJan11Agent,A,15,130,FALSE,130
1382.3719453372298,-1055.137993829902,AgentResearchHelper,D,152,131,FALSE,131
1299.5910579546464,-1092.4007219531572,DataResearcherOpenAI,E,6,132,FALSE,132
1386.3386770799434,-1125.3208932208486,AgentTryPumsCitationABC,G,22,133,FALSE,133
1584.8948548937096,-1096.1109189236827,AgentMyCookSource627,G,2,134,FALSE,134
1504.6823585424754,-1047.1114951567063,CooksHelperAppendZ,G,3,135,FALSE,135
1383.636130348566,-1033.027403920204,AgentCookResearch,D,181,136,FALSE,136
1372.0175889137006,-1170.7988071331833,GroceryAgentApr14Z,A,21,137,FALSE,137
1291.0716494454146,-1238.816203490038,ResearchAgentAprNineteenX,A,7,138,FALSE,138
1222.2629650546262,-1271.159403488828,AgentApr19LangX,A,1,139,FALSE,139
1189.683651118655,-1017.7503841502856,CharlestonResearchHelper,B,6,140,FALSE,140
1334.8674058107079,-902.9360960499938,LinkHelperXYZ,E,4,141,FALSE,141
1130.968078083096,-1199.3464833595121,JulSixteenPovertyWatcher,A,1,142,FALSE,142
1216.7370816944547,-1170.9430031870966,CashierCoordJul23OAI,A,6,143,FALSE,143
1338.6616601410474,-1144.2253554042466,AgentResearcherX,A,22,144,FALSE,144
1507.3193433431863,-1104.126577357463,OpenAIResearcherJuly,A,30,145,FALSE,145
1161.980397293186,-1159.5649667100827,OpenAIAsianJun21Scout,F,13,146,FALSE,146
1215.7781015173648,-1375.5571428250491,OpenAIJul31Police,Other,17,147,FALSE,147
1245.0678316150763,-1370.105642070938,AgentAug02Scout,Other,19,148,FALSE,148
1252.2288268972784,-1376.5833588940766,OpenAIDec23Police2,Other,20,149,FALSE,149
1470.585062483955,-1145.6819048831737,OpenAIResearcherAug09,A,25,150,FALSE,150
1388.2832520798725,-1080.1755977726982,OpenAIResearcherMar03X,A,123,151,FALSE,151
1459.8190052161347,-1111.5616468315798,AgentOpenAISep7,A,70,152,FALSE,152
1419.0879356359605,-1140.1048467995986,SectorAgentFeb25OAI,A,42,153,FALSE,153
1456.1283750496084,-1076.244008304298,Apr19SectorRelay,A,36,154,FALSE,154
1492.6874756316822,-1084.0455674074697,AgentAug25OAI,A,49,155,FALSE,155
1464.0065998974053,-1074.9237842508364,SectorAgentNov27OAI,A,62,156,FALSE,156
1440.8785131480697,-1072.9071279334394,AgentAug27OAI,A,49,157,FALSE,157
1472.9063988388161,-1044.9327586669756,ResearchAgentAug,G,4,158,FALSE,158
1230.5603180160235,-1010.1521631583339,TestResearchABC,E,5,159,FALSE,159
1341.4269925580293,-1008.5042590605836,AgentHelper007,E,318,160,FALSE,160
1216.5206451002746,-999.7618655903652,OpenAgentJuneMap,B,9,161,FALSE,161
1502.8966261294095,-1271.2894817234262,AgentTwenty,B,2,162,FALSE,162
1424.081220583296,-1216.3020728416348,AgentTwentyTwo,B,3,163,FALSE,163
1486.16789792346,-1269.4601837124899,CiteAgent448Z,B,5,164,FALSE,164
1468.459243834741,-1199.3694917863616,ResearchHelperXYZ987,A,14,165,FALSE,165
1551.1814172711745,-1247.9917720612814,DataUSAHelper4314,A,3,166,FALSE,166
1554.5685632609611,-1232.9936834526975,DataUSAHelper6742,A,3,167,FALSE,167
1541.169506152773,-1258.9042657947798,FreshBot1781639210360150787,A,3,168,FALSE,168
1342.9774148799825,-942.9913000411516,AgentHHShort,C,237,169,FALSE,169
1486.4500953243876,-1176.0550571942679,ResearchBotAlpha,A,24,170,FALSE,170
1419.7487089844815,-1174.9817832017106,AgentResearcherXYZ,A,30,171,FALSE,171
1241.6213955769686,-1068.3230080139688,DataUSAHelper5414,Other,3,172,FALSE,172
1361.1650044729063,-967.6988360677722,AgentManual007,C,335,173,FALSE,173
1459.2331740324207,-939.5979732237848,DataUSAHelper6140,D,2,174,FALSE,174
1365.857145521214,-980.8513095326616,AgentMassCustomFinal2026,C,327,175,FALSE,175
1486.2278165559608,-1028.587011619706,DataUSAHelper6250,G,2,176,FALSE,176
1374.0391148320296,-1096.7782255956176,ResearchHelperNov,G,60,177,FALSE,177
1329.8370226180932,-1096.9140954242405,OAIResearchJul09,G,6,178,FALSE,178
1416.6364110793552,-1098.871862950409,DataUSAHelper9208,A,11,179,FALSE,179
1422.8098006512944,-1050.04003458389,DataUSAHelper7212,G,6,180,FALSE,180
1471.8396924563574,-1086.2693866212348,DataUSAHelper2134,A,52,181,FALSE,181
1360.7723781215045,-1144.7475034103418,DataUSAHelper8196,G,3,182,FALSE,182
