x,y,name,Label,.ggraph.orig_index,circular,.ggraph.index
-1126.7365451171966,33.25334572104978,Name: AgentResearcherQZX,Name,1,FALSE,1
-1081.2182705856912,69.91999185859724,Name: CashierCoordSep09,Name,2,FALSE,2
-1109.2069792141187,-41.880553080088845,Name: OpenAIResearchNov22,Name,3,FALSE,3
-1037.7576822496942,-174.39071249277305,Name: OpenAITransportAug19,Name,4,FALSE,4
-1159.2469482015235,-194.63422545731564,Name: Apr15MaidsWatcherOAI,Name,5,FALSE,5
-1166.63007095899,-50.31523898832939,Name: Oct28GroceryHelper,Name,6,FALSE,6
-1420.6630874705095,-82.93713272464993,Name: AgentBridgeResearch42,Name,7,FALSE,7
-1434.704976727472,-352.1234210235242,Name: DataResearchHelper,Name,8,FALSE,8
-988.7909511515212,-161.93334664929708,Name: GroceryAgentJul12,Name,9,FALSE,9
-1022.9247571770744,-115.92171657674251,Name: AgentPrep9280357,Name,10,FALSE,10
-1338.495015069548,-285.8402046472964,Name: ResearchAgentJun23,Name,11,FALSE,11
-1385.1985604581494,-117.58055227340692,Name: Nov26ResearchReader,Name,12,FALSE,12
-1490.838403362413,-280.0779403805826,Name: CashierCoordDec29OAI,Name,13,FALSE,13
-1153.8093196293662,30.21454683127549,Name: AgentTestFoo178,Name,14,FALSE,14
-1068.1543103921026,-143.3264357851276,Name: ChatGPTJul19Agent,Name,15,FALSE,15
-911.2148622446413,-473.1360790010619,Name: OpenAIResearchDec11X,Name,16,FALSE,16
-1187.7357712999983,-287.53309700509965,Name: Oct27VeteranWatcherB,Name,17,FALSE,17
-1324.3581302019868,-229.5252284313233,Name: OpenAIResearchAgent,Name,18,FALSE,18
-1166.3201813308392,-42.85415922519022,Name: ResearchObserverXYZ,Name,19,FALSE,19
-1089.2053004469449,-791.6134596994505,Name: OpenAIResearchNov18X,Name,20,FALSE,20
-1184.3911196183421,-105.71701153110993,Name: OpenAIHelperJul18X,Name,21,FALSE,21
-965.9307023398181,177.50077563614417,Name: OpenAIJul26Construction,Name,22,FALSE,22
-968.5312377771925,9.947951353784072,Name: OpenAIMar07A3,Name,23,FALSE,23
-950.1681831226122,-103.2119782040249,Name: OpenAIJun15Construction,Name,24,FALSE,24
-1721.8762220610781,-315.8387669312496,Name: Agent0MassCountyResearch,Name,25,FALSE,25
-1883.6292803582553,-202.7799049320412,Name: DataResearchHelperX,Name,26,FALSE,26
-1484.3849899396894,-223.86827494912134,Name: AlphaBeta,Name,27,FALSE,27
-1774.3213547314065,-25.681104174213704,Name: AgentMassStartTry0,Name,28,FALSE,28
-1420.4271185338162,-480.1522122887856,Name: ResearchHelperY,Name,29,FALSE,29
-934.6423956395092,15.372614396786204,Name: Jan03A2_1716ad,Name,30,FALSE,30
-2144.3842616675456,-993.3218464046372,Name: TranslationHelper,Name,31,FALSE,31
-2055.9176076572758,-828.6305637875101,Name: XWikiUserABC,Name,32,FALSE,32
-1057.693608294337,-236.02039647611386,Name: CashierCoordOct30OAI,Name,33,FALSE,33
-1694.4191917949695,-59.92655390465131,Name: AgentHelper923,Name,34,FALSE,34
-1991.5747025043374,-253.76368068848376,Name: OpenAIUniqueSecGamma33,Name,35,FALSE,35
-2101.2133934649255,-49.230440669793126,Name: LinkNested,Name,36,FALSE,36
-2175.1618680732454,-166.75453652001693,Name: AgentOfficialLines,Name,37,FALSE,37
-2061.386750809436,-232.2684840069869,Name: OpenAIMass2026,Name,38,FALSE,38
-1987.1025996619164,-260.7211835100392,Name: AgentMassAppend,Name,39,FALSE,39
-2098.289711120016,-341.90123029142563,Name: RegexParsedSEC,Name,40,FALSE,40
-1931.5927459023499,-209.58009507272325,Name: AgentEdit32584860,Name,41,FALSE,41
-2044.201911647673,102.78440663987125,Name: ResearchLinks,Name,42,FALSE,42
-2090.9929221242423,21.962702322420583,Name: AgentAD2928199,Name,43,FALSE,43
-1925.7697873986513,-327.7127464262727,Name: OpenAI,Name,44,FALSE,44
-2025.5765783962747,-383.1981024584877,Name: AgentResearchUseful989,Name,45,FALSE,45
-2147.751834880689,-404.7258805733002,Name: CombinedHelperFinal991,Name,46,FALSE,46
-902.2099731552735,-655.0603616446414,Name: ResearchAgentAB,Name,47,FALSE,47
-1985.5297159963184,-414.2837339705121,Name: DataResearchAgent,Name,48,FALSE,48
-1731.8494710706616,-205.71601365343395,Name: AgentTestFooBarX,Name,49,FALSE,49
-1753.7612851716322,-23.048549158052595,Name: AgentHelperUniqueXYZ,Name,50,FALSE,50
-1965.1834996536427,-51.55984180717638,Name: HelperMassRef96048,Name,51,FALSE,51
-1667.862185724398,-67.46329339215976,Name: AgentCookHelper,Name,52,FALSE,52
-1403.804931791918,-195.4529589685636,Name: RevisionScoutOAI,Name,53,FALSE,53
-1493.3696413012785,-120.2760813168418,Name: CashierCoordJan31OAI,Name,54,FALSE,54
-2132.3959136680874,-333.7445790889031,Name: CountyAgentMySecLinksZZZ2,Name,55,FALSE,55
-2123.098779151305,-316.1619326665821,Name: MapHelper,Name,56,FALSE,56
-2162.3020600000887,-448.95836074543615,Name: AgentRawDirectNew771,Name,57,FALSE,57
-2212.6011306869727,-404.02696105780427,Name: AgentSECDoubleSlash55848,Name,58,FALSE,58
-2088.091474768321,-325.86315744074403,Name: AgentTestLearnXYZ,Name,59,FALSE,59
-2175.9370965992143,-211.03749058826176,Name: AgentMassHelperX,Name,60,FALSE,60
-2007.7372573667349,-346.1974932646924,Name: OpenAISECLinker9902,Name,61,FALSE,61
-2146.419596248898,-628.5513810078922,Name: AgentUltraUpdateRouteXYZ,Name,62,FALSE,62
-2085.917560726212,-302.4261365090796,Name: OpenAIresolveJun23,Name,63,FALSE,63
-2009.7000022101374,-305.2727026306319,Name: MassConditionalHelper2,Name,64,FALSE,64
-1851.9586798735538,-345.2376266156216,Name: AgentX,Name,65,FALSE,65
-2096.622583267533,-630.5962524502495,Name: Agent0RegexExtra,Name,66,FALSE,66
-2162.3688018733646,-358.2531417989602,Name: AgentResearchBotXNew,Name,67,FALSE,67
-2004.2519928595677,-428.7104347139235,Name: AgentRetryXXX,Name,68,FALSE,68
