,The Forest,Anesthesia,Lamb,Ride Along 2,13 Hours: The Secret Soldiers of Benghazi,Norm of the North,Dirty Grandpa,The 5th Wave,The Boy,Ip Man 3,Synchronicity,Kung Fu Panda 3,The Finest Hours,Jane Got a Gun,"Hail, Caesar!",Pride + Prejudice + Zombies,The Choice,Deadpool,Zoolander 2,How to Be Single,Risen,The Witch,Race,Gods of Egypt,Triple 9,Zootopia,London Has Fallen,Whiskey Tango Foxtrot,The Other Side of the Door,10 Cloverfield Lane,The Young Messiah,The Perfect Match,"Hello, My Name Is Doris",Miracles from Heaven,The Divergent Series: Allegiant,The Bronze,Midnight Special,Batman v Superman: Dawn of Justice,My Big Fat Greek Wedding 2,Everybody Wants Some!!,God's Not Dead 2,Meet the Blacks,Miles Ahead,The Boss,Hardcore Henry,Demolition,The Invitation,The Jungle Book,Barbershop: The Next Cut,Criminal,Green Room,The Huntsman: Winter's War,Elvis & Nixon,Keanu,Mother's Day,Ratchet & Clank,Captain America: Civil War,Money Monster,The Darkness,Love & Friendship,The Angry Birds Movie,Neighbors 2: Sorority Rising,The Nice Guys,X-Men: Apocalypse,Alice Through the Looking Glass,TMNT 2: Out of the Shadows,Me Before You,Popstar: Never Stop Never Stopping,The Conjuring 2,Warcraft,Now You See Me 2,Finding Dory,Central Intelligence,Independence Day: Resurgence,The Shallows,Free State of Jones,The Neon Demon,The Legend of Tarzan,The BFG,The Purge: Election Year,The Secret Life of Pets,Mike and Dave Need Wedding Dates,Characterz,The Infiltrator,Ghostbusters,Star Trek Beyond,Ice Age: Collision Course,Lights Out,Jason Bourne,Bad Moms,Nerve,Suicide Squad,Ben-Hur,War Dogs,Hands of Stone,The Girl on the Train,Keeping Up with the Joneses,Friend Request,23,Rogue One: A Star Wars Story (film),21
The Forest,0.0,1.4802259,2.648323,1.8909895,2.7076702,1.0753462,2.5940006,3.417711,0.5864516,1.6073705,3.1540976,1.7267882,2.0848205,1.363562,2.593169,1.3834107,1.9006741,2.8545125,2.8143032,2.5069056,2.4322286,0.51342654,1.1497273,1.8605877,1.9830685,1.7518831,2.8820043,2.3486385,1.6742302,1.2496375,2.4946072,2.1910653,2.6537852,1.764697,3.3478699,1.2863494,3.3637483,2.6561499,2.0668364,2.099287,1.4144739,1.8568015,2.8252838,1.505373,3.0735564,2.737979,2.5320365,1.394242,1.7642342,3.1809132,1.6155895,1.391655,3.193273,1.7755264,2.2120337,3.1993723,2.9958255,2.017987,1.8733208,1.2679813,2.8818839,2.4489763,2.5489166,2.2358925,1.3103935,2.7338765,2.416421,1.6670564,0.60877776,2.5317674,2.531184,1.6590228,1.6574532,3.4368675,1.6583585,0.6145346,2.3794112,1.1079011,1.008415,0.65529317,1.5764409,2.703789,1.6762809,1.8345636,0.8142144,3.1631663,2.8647132,0.6769345,3.1200342,1.8059732,1.9060091,2.875503,2.3775012,1.8545784,1.8220276,1.1689581,1.8006357,2.694324,1.7704246,3.2676606,1.5443168
Anesthesia,1.4802259,0.0,2.1127844,0.8876739,2.5021663,2.4030738,2.111109,4.1167774,1.7769893,2.14772,3.5749295,2.1678445,1.6746404,0.22466639,2.3990037,1.9637765,1.4836714,2.9818046,2.9090624,2.167178,2.363931,1.8915071,1.0816559,2.6055732,1.1472527,2.9558976,2.7113981,1.8216043,1.8019301,0.68043745,2.4626913,1.7921125,2.1835022,1.9179927,4.051715,1.181152,4.0604835,2.923247,1.646393,1.5932026,1.3811337,1.0654788,2.2929077,0.75207925,3.1642487,2.2229776,2.0371337,2.6891282,1.0817116,3.1849246,0.66692007,2.3740883,2.9954526,0.947577,2.0699298,3.701795,3.1615975,1.3141836,2.7149951,2.0063818,3.6198955,2.1087267,2.3187149,2.923594,2.4234953,3.4517748,1.927007,0.81218374,1.676915,3.1660163,2.441034,2.4293883,1.1603878,4.0920806,1.9923967,1.8004048,2.1738944,2.0323496,2.1422198,1.7727342,2.7795947,2.236676,2.9132915,0.9627822,1.4008698,3.734347,3.5178459,1.3610913,3.0954418,1.3977107,1.6208191,2.9653544,2.316157,0.8790607,1.1335293,1.2526524,1.2358277,2.2786703,2.5926566,3.7390723,2.796008
Lamb,2.648323,2.1127844,0.0,2.528253,4.1699038,3.4207573,0.35195792,5.318698,2.958468,3.815738,4.9717307,3.8677387,0.6840894,1.9996659,1.7881818,3.5808392,0.8263233,4.6299076,4.626207,0.9642229,2.2256045,3.066359,1.6933621,4.1360035,2.963049,3.876872,4.389641,1.0890979,2.386029,2.089616,2.0674393,1.0825543,1.2069165,2.1549234,5.3045597,1.6688262,5.2323995,4.5712066,1.0538095,0.8871784,1.6440228,1.4763544,1.4436485,2.3022096,4.723386,1.4681262,0.15579392,3.6623688,1.4474901,4.7355227,1.843277,3.8360193,4.6324434,2.8390932,1.3867936,5.0459433,4.8113008,3.1334002,3.7541387,3.5828803,4.783582,1.3247154,1.8082439,4.434755,3.7834582,4.754291,0.5915838,1.8797494,2.938977,4.651004,4.1828785,3.28853,1.3969547,5.3190827,2.5463443,2.8168995,1.1880629,3.5332952,3.5290382,2.791058,3.8226466,0.48352972,3.7217422,2.5318503,2.685722,5.013436,4.7160697,2.3325825,4.691378,1.3869736,1.3262312,4.6641116,1.7567942,2.390755,2.5720525,1.921341,1.3839626,1.1088794,3.562222,5.1333513,3.7230744
Ride Along 2,1.8909895,0.8876739,2.528253,0.0,1.9406493,2.7027054,2.467307,3.957526,2.1629863,1.9332815,3.2225094,1.8977371,2.076866,1.0686417,2.353889,1.8179145,1.8761638,2.5223157,2.4624138,2.379405,2.217997,2.169602,1.5028412,2.501421,0.5581193,3.163187,2.1716502,2.256533,1.7606921,1.1061549,2.401429,2.2520878,2.5663414,1.987122,3.9081142,1.6126655,3.899867,2.607297,2.0678005,1.9503404,1.7892153,1.1683838,2.7062402,0.6837955,2.6654763,2.6210303,2.4485857,2.9687216,1.4683471,2.6251135,1.2240593,2.4216707,2.4263895,0.43071285,2.2709546,3.400672,2.8137038,0.7992382,2.6756287,1.9391384,3.4924128,2.1463995,2.2742743,2.7740252,2.5483906,3.3232305,2.3321052,1.2710162,2.0359426,2.9493008,1.9823873,2.4371638,1.5671588,3.90643,2.0046067,2.0176568,2.3851886,2.0528753,2.3046906,1.9851567,2.9776616,2.5681825,3.1545389,0.32877332,1.7869681,3.4839644,3.3341663,1.7513732,2.558984,1.8469203,2.096416,2.5526776,2.3560598,0.2965449,0.5097247,1.6136657,1.6757164,2.5887716,2.571224,3.3985252,3.0609732
13 Hours: The Secret Soldiers of Benghazi,2.7076702,2.5021663,4.1699038,1.9406493,0.0,2.8336644,4.0212,2.7599595,2.6424453,1.7296182,1.8233463,1.6181141,3.6279562,2.6431465,3.4052086,2.01106,3.4501896,0.7475216,0.6906426,3.8335516,2.9332743,2.6215265,3.0172648,1.698834,1.4622239,2.936795,0.24195242,3.9281356,2.7090108,2.6770384,3.2151077,4.007887,4.2392893,3.0241451,2.65865,3.1935356,2.7500477,1.0357423,3.6206393,3.4984772,3.2407057,2.8778782,4.417485,2.365396,0.9287489,4.2996497,4.0800576,2.9493437,3.155554,0.8941111,2.8416452,2.0643005,0.53409684,1.7048044,3.4971569,2.1142752,1.0736779,1.2418467,2.4429061,2.1125789,2.4946132,3.4593797,3.4221685,1.7102704,2.3063445,2.2149515,4.0104074,2.8396316,2.5337467,1.738131,0.40253606,2.6082253,3.1979368,2.683056,2.7956688,2.7828887,3.6787055,2.2209194,2.3036594,2.7942894,2.7756982,4.089734,3.0459952,2.0508153,2.4625823,2.2951493,2.3365502,2.8285167,0.7167862,3.361471,3.823895,0.76084214,3.345933,2.1790535,1.997087,3.014036,3.1633735,4.1938944,2.5136867,1.9892143,2.9695024
Norm of the North,1.0753462,2.4030738,3.4207573,2.7027054,2.8336644,0.0,3.3135939,2.7423728,0.7515497,1.7962934,2.7752068,1.9335271,2.8445935,2.3053064,3.073334,1.7641951,2.7043502,2.7254913,2.7212265,3.1833184,2.7661726,0.705036,2.121562,1.4405526,2.6320634,0.75342613,2.9434662,3.1945925,2.230727,2.2402925,2.834445,3.1152406,3.4812157,2.3092854,2.6422396,2.274281,2.7063415,2.3999252,2.847221,2.8737624,2.2636323,2.7487338,3.6817138,2.4474728,2.9396508,3.5809815,3.3043854,0.3537524,2.694404,3.1167262,2.5384822,0.9440006,3.224019,2.5260434,2.7608025,2.7617872,2.7402759,2.5705078,1.5447594,1.5765249,2.2405655,3.0739095,3.1012354,1.7404597,0.6979947,2.087748,3.239822,2.561981,0.9030247,2.0497043,2.6062107,1.6025611,2.5703716,2.8048992,2.089005,1.2500995,2.9519892,1.3126123,0.697028,1.3335667,0.6346129,3.3969786,0.67676556,2.6795797,1.3108262,2.6696265,2.3375394,1.5347376,3.056114,2.6109996,2.8633363,2.7372878,2.7938294,2.7360833,2.6220167,2.0755794,2.5829313,3.46615,1.5563986,2.8435614,0.50655794
Dirty Grandpa,2.5940006,2.111109,0.35195792,2.467307,4.0212,3.3135939,0.0,5.183865,2.8590724,3.6980402,4.835491,3.748172,0.70151216,1.9987782,1.6657509,3.4836733,0.7324528,4.478901,4.473759,0.96520287,2.0618649,2.9754505,1.6502005,4.005304,2.8818264,3.7494454,4.2391777,1.3237143,2.359195,2.126692,1.9076953,1.3029282,1.46918,2.138685,5.16233,1.7154227,5.1000543,4.420151,1.1810437,0.699862,1.7048746,1.3816549,1.7390833,2.3006222,4.5744567,1.7446986,0.37869042,3.5540507,1.3841984,4.588647,1.7989837,3.7197044,4.4794765,2.7756772,1.330178,4.9189606,4.6534114,3.0401173,3.6655948,3.4847844,4.6523066,1.2193333,1.7512016,4.2972856,3.6690714,4.6153336,0.82162213,1.8089614,2.8338678,4.5143404,4.0340166,3.2217638,1.3213655,5.1872287,2.516929,2.7344959,1.121446,3.4311032,3.4191613,2.7100146,3.7097585,0.17121877,3.586729,2.495283,2.5658138,4.888778,4.59339,2.3298068,4.5399647,1.4921582,1.492581,4.5088086,1.6142555,2.350975,2.523478,1.957901,1.4435145,1.3156174,3.4839263,4.9975643,3.6031814
The 5th Wave,3.417711,4.1167774,5.318698,3.957526,2.7599595,2.7423728,5.183865,0.0,3.236321,3.051813,1.1016628,3.0714145,4.663068,4.1572413,4.1479797,3.3087637,4.6550283,2.1454852,2.3936186,4.7346,3.5894902,3.127109,4.258605,1.8872558,3.6289601,2.1706839,2.682192,4.9147334,3.36298,3.9808471,3.7833261,5.0955677,5.1615787,3.5599833,0.30333045,4.2844234,0.14062272,1.9328332,4.5419025,4.844444,4.0865784,4.510897,5.3617563,3.9695456,2.0167184,5.2138996,5.1922317,2.5151608,4.733545,2.2265244,4.5115027,2.2844727,2.6886494,3.7624016,4.176323,0.8534313,2.0386405,3.4323292,1.8295578,3.239376,0.56217504,4.4299297,4.181974,1.5459838,2.3600657,0.7656157,5.0703373,4.5492115,3.291418,1.2685081,2.7241194,2.3543093,4.6653285,0.16522995,3.1803432,3.547301,4.427395,3.1427984,2.7170606,3.621364,2.1527479,5.258593,2.4102812,3.929671,3.5424175,0.65302825,0.7084251,3.5199378,2.2958903,4.275954,4.908959,2.3038874,3.9659998,4.097742,3.7883673,3.918024,4.181327,5.075205,2.059879,0.99555004,2.4235392
The Boy,0.5864516,1.7769893,2.958468,2.1629863,2.6424453,0.7515497,2.8590724,3.236321,0.0,1.5540982,3.0551772,1.681564,2.425632,1.6620333,2.8942707,1.4411354,2.2084684,2.7237718,2.6571221,2.8705814,2.65853,0.4426153,1.5499144,1.6376479,2.1400452,1.4533455,2.7886894,2.7980595,2.099178,1.7262638,2.731019,2.6608465,3.1196978,2.1889734,3.1223059,1.7996373,3.201111,2.447279,2.4763882,2.3335235,1.9127725,2.1713371,3.306441,1.929604,2.9828637,3.221252,2.8556476,1.0915513,2.04941,3.1243987,1.8423275,1.1390007,3.1027017,1.9865298,2.5393643,3.107109,2.773105,2.1206505,1.9365523,1.2822683,2.7261012,2.7840896,2.9128027,2.0050938,1.0109751,2.5202055,2.8154883,1.85919,0.18666573,2.3473048,2.4065876,1.8649992,1.9467857,3.2746365,2.056093,0.90014076,2.6990643,1.0562973,0.70920706,0.95157075,1.3144746,2.9473846,1.3621349,2.178266,0.59873414,3.0644937,2.767454,1.2188896,3.0304954,2.2400627,2.3979983,2.692588,2.6415334,2.1927042,2.174994,1.7055141,2.1817555,3.1365678,1.8985285,3.1583836,1.2182462
Ip Man 3,1.6073705,2.14772,3.815738,1.9332815,1.7296182,1.7962934,3.6980402,3.051813,1.5540982,0.0,2.4540298,0.15697785,3.2645302,2.180887,3.4008534,0.4027886,2.9964156,1.7878879,1.6516519,3.59064,3.0516174,1.3789008,2.2118578,1.2404846,1.7396821,2.203498,1.8631976,3.5562155,2.3960862,2.1131487,3.246003,3.4007251,3.8597214,2.6797612,2.9367223,2.4393468,3.0349803,1.7207457,3.2808363,3.086305,2.6449609,2.5307672,4.030041,1.9399738,2.1110847,3.9327722,3.7103171,2.0150485,2.592169,2.1925304,2.3418677,1.128204,2.1726694,1.6209437,3.2950306,2.6125057,2.0376515,1.6706647,2.08009,0.4592021,2.6352222,3.3399417,3.3726976,1.571131,1.3125061,2.3410895,3.612366,2.329672,1.4390084,1.8268224,1.4842929,2.1771054,2.57093,3.0348616,2.43335,1.4505533,3.4715044,0.6315255,1.126283,1.453547,1.9926319,3.7820232,2.2540503,1.9256171,1.5521563,2.6928878,2.5645561,1.9740206,2.1116602,3.003168,3.1106443,1.7987332,3.2700489,2.0108666,1.8823894,2.3240294,2.9215953,3.8689759,2.1091394,2.5552397,2.1229317
