STATE,Year,Total,Dem Votes,Dem Percent,Dem EV,Rep Votes,Rep Percent,Rep EV
Alabama,2020,2323282,849624,36.57,,1441170,62.03,9
Alaska,2020,359530,153778,42.77,,189951,52.83,3
Arizona,2020,3387326,1672143,49.36,11,1661686,49.06,
Arkansas,2020,1219069,423932,34.78,,760647,62.4,6
California,2020,17500881,11110250,63.48,55,6006429,34.32,
Colorado,2020,3256952,1804352,55.4,9,1364607,41.9,
Connecticut,2020,1824280,1080680,59.24,7,715291,39.21,
Delaware,2020,504010,296268,58.78,3,200603,39.8,
District of Columbia,2020,344356,317323,92.15,3,18586,5.4,
Florida,2020,11067456,5297045,47.86,,5668731,51.22,29
Georgia,2020,4997716,2473633,49.5,16,2461854,49.26,
Hawaii,2020,574469,366130,63.73,4,196864,34.27,
Idaho,2020,868014,287021,33.07,,554119,63.84,4
Illinois,2020,6033744,3471915,57.54,20,2446891,40.55,
Indiana,2020,3033121,1242416,40.96,,1729519,57.02,11
Iowa,2020,1690871,759061,44.89,,897672,53.09,6
Kansas,2020,1372303,570323,41.56,,771406,56.21,6
Kentucky,2020,2136768,772474,36.15,,1326646,62.09,8
Louisiana,2020,2148062,856034,39.85,,1255776,58.46,8
Maine,2020,819461,435072,53.09,2,360737,44.02,
ME-1,2020,443112,266376,60.11,1,164045,37.02,
ME-2,2020,376349,168696,44.82,,196692,52.26,1
Maryland,2020,3037030,1985023,65.36,10,976414,32.15,
Massachusetts,2020,3631403,2382202,65.6,11,1167202,32.14,
Michigan,2020,5539301,2804040,50.62,16,2649852,47.84,
Minnesota,2020,3277171,1717077,52.4,10,1484065,45.28,
Mississippi,2020,1313759,539398,41.06,,756764,57.6,6
Missouri,2020,3025962,1253014,41.41,,1718736,56.8,10
Montana,2020,603640,244786,40.55,,343602,56.92,3
Nebraska,2020,951712,374583,39.36,,556846,58.51,2
NE-1,2020,321886,132261,41.09,,180290,56.01,1
NE-2,2020,339666,176468,51.95,1,154377,45.45,
NE-3,2020,294831,65854,22.34,,222179,75.36,1
Nevada,2020,1405376,703486,50.06,6,669890,47.67,
New Hampshire,2020,806205,424937,52.71,4,365660,45.36,
New Jersey,2020,4549353,2608335,57.33,14,1883274,41.4,
New Mexico,2020,923965,501614,54.29,5,401894,43.5,
New York,2020,8594826,5230985,60.86,29,3244798,37.75,
North Carolina,2020,5524804,2684292,48.59,,2758775,49.93,15
North Dakota,2020,361819,114902,31.76,,235595,65.11,3
Ohio,2020,5922202,2679165,45.24,,3154834,53.27,18
Oklahoma,2020,1560699,503890,32.29,,1020280,65.37,7
Oregon,2020,2374321,1340383,56.45,7,958448,40.37,
Pennsylvania,2020,6915283,3458229,50.01,20,3377674,48.84,
Rhode Island,2020,517757,307486,59.39,4,199922,38.61,
South Carolina,2020,2513329,1091541,43.43,,1385103,55.11,9
South Dakota,2020,422609,150471,35.61,,261043,61.77,3
Tennessee,2020,3053851,1143711,37.45,,1852475,60.66,11
Texas,2020,11315056,5259126,46.48,,5890347,52.06,38
Utah,2020,1488289,560282,37.65,,865140,58.13,6
Vermont,2020,367428,242820,66.09,3,112704,30.67,
Virginia,2020,4460524,2413568,54.11,13,1962430,44,
Washington,2020,4087631,2369612,57.97,12,1584651,38.77,
West Virginia,2020,794652,235984,29.7,,545382,68.63,5
Wisconsin,2020,3298041,1630866,49.45,10,1610184,48.82,
Wyoming,2020,276765,73491,26.55,,193559,69.94,3
Alabama,2016,2123372,729547,34.4,,1318255,62.1,9
Alaska,2016,318608,116454,36.6,,163387,51.3,3
Arizona,2016,2573165,1161167,45.1,,1252401,48.7,11
Arkansas,2016,1130635,380494,33.7,,684872,60.6,6
California,2016,14181595,8753788,61.7,55,4483810,31.6,
Colorado,2016,2780220,1338870,48.2,9,1202484,43.3,
Connecticut,2016,1644920,897572,54.6,7,673215,40.9,
Delaware,2016,441590,235603,53.4,3,185127,41.9,
Dist. of Col.,2016,311268,282830,90.9,3,12723,4.1,
Florida,2016,9420039,4504975,47.8,,4617886,49,29
Georgia,2016,4092373,1877963,45.9,,2089104,51,16
Hawaii,2016,428937,266891,62.2,4,128847,30,
Idaho,2016,690255,189765,27.5,,409055,59.3,4
Illinois,2016,5536424,3090729,55.8,20,2146015,38.8,
Indiana,2016,2734958,1033126,37.8,,1557286,56.9,11
Iowa,2016,1566031,653669,41.7,,800983,51.1,6
Kansas,2016,1184402,427005,36.1,,671018,56.7,6
Kentucky,2016,1924149,628854,32.7,,1202971,62.5,8
Louisiana,2016,2029032,780154,38.4,,1178638,58.1,8
