"node_1","node_2","edge"
1887,2906,5
1887,541,1
2906,541,5
1887,958,1
2906,958,5
541,958,5
1887,396,5
2906,396,5
541,396,5
958,396,5
1887,9686991,5
2906,9686991,5
541,9686991,5
958,9686991,5
396,9686991,5
1887,3216,3
2906,3216,1
396,3216,3
9686991,3216,2
1887,9688247,3
9686991,9688247,5
3216,9688247,5
1887,8044,1
2906,8044,3
541,8044,5
958,8044,4
396,8044,5
9686991,8044,5
3216,8044,1
2906,24820735,3
1887,279084,5
2906,279084,5
541,279084,5
958,279084,5
396,279084,5
9686991,279084,5
3216,279084,1
9688247,279084,5
2906,398004,3
396,398004,5
9686991,398004,2
3216,398004,2
8044,398004,5
1887,9687651,3
396,9687651,1
9686991,9687651,1
9688247,9687651,3
8044,9687651,4
1887,9701404,1
2906,9701404,3
396,9701404,3
9686991,9701404,1
3216,9701404,5
9688247,9701404,4
8044,9701404,3
398004,9701404,5
1887,16120407,5
2906,16120407,5
541,16120407,5
958,16120407,5
396,16120407,5
9686991,16120407,5
3216,16120407,5
9688247,16120407,5
279084,16120407,5
9687651,16120407,1
9701404,16120407,2
1887,23440086,5
2906,23440086,3
541,23440086,2
958,23440086,4
396,23440086,2
9686991,23440086,5
9688247,23440086,3
279084,23440086,5
16120407,23440086,5
279084,15843,1
9701404,15843,1
16120407,15843,3
23440086,15843,1
396,16066,1
3216,16066,1
8044,16066,2
398004,16066,1
9701404,16066,2
3216,19894,1
9688247,19894,4
279084,19894,2
9701404,19894,2
16120407,19894,5
23440086,19894,1
15843,19894,5
16120407,9703907,2
15843,9703907,5
19894,9703907,5
9701404,9758081,2
15843,9758081,5
19894,9758081,5
9703907,9758081,5
16120407,16010829,1
15843,16010829,5
19894,16010829,5
9703907,16010829,5
9758081,16010829,5
9701404,23440008,1
15843,23440008,5
19894,23440008,5
9703907,23440008,3
9758081,23440008,5
16010829,23440008,5
15843,24717739,5
19894,24717739,5
9703907,24717739,5
9758081,24717739,5
16010829,24717739,5
23440008,24717739,5
958,4746,5
8044,4746,1
24820735,4746,5
2906,7486,5
541,7486,1
958,7486,4
396,7486,1
8044,7486,5
24820735,7486,5
398004,7486,1
4746,7486,5
2906,13432,4
958,13432,4
8044,13432,1
24820735,13432,5
4746,13432,5
7486,13432,5
2906,17294,5
541,17294,2
958,17294,5
396,17294,2
9686991,17294,3
8044,17294,3
24820735,17294,4
279084,17294,1
9687651,17294,1
4746,17294,5
7486,17294,2
13432,17294,5
2906,18467,5
958,18467,3
396,18467,1
24820735,18467,5
4746,18467,5
7486,18467,5
13432,18467,5
17294,18467,5
958,8820177,5
8044,8820177,1
24820735,8820177,5
4746,8820177,5
7486,8820177,5
13432,8820177,5
17294,8820177,5
18467,8820177,5
2906,9686079,2
958,9686079,5
24820735,9686079,5
4746,9686079,5
7486,9686079,5
13432,9686079,5
17294,9686079,5
18467,9686079,5
8820177,9686079,5
24820735,9703637,5
4746,9703637,5
7486,9703637,3
13432,9703637,5
17294,9703637,5
18467,9703637,5
8820177,9703637,5
9686079,9703637,5
