.tail,.head,weight
Kenny Yuko,Jay Hottinger,129
Matthew Dolan,Jay Hottinger,107
Vernon Sykes,Jay Hottinger,91
Sandra Williams,Jay Hottinger,53
Teresa Fedor,Jay Hottinger,70
Robert Hackett,Jay Hottinger,136
Andrew Brenner,Jay Hottinger,124
Kristina Roegner,Jay Hottinger,79
Terry Johnson,Jay Hottinger,129
Nickie Antonio,Jay Hottinger,110
Bob Peterson,Jay Hottinger,93
Louis Blessing,Jay Hottinger,122
Stephanie Kunze,Jay Hottinger,95
Mark Romanchuk,Jay Hottinger,92
Bill Reineke,Jay Hottinger,124
Hearcel Craig,Jay Hottinger,112
Nathan Manning,Jay Hottinger,92
Robert McColley,Jay Hottinger,80
Stephen Huffman,Jay Hottinger,95
Cecil Thomas,Jay Hottinger,126
Theresa Gavarone,Jay Hottinger,133
Frank Hoagland,Jay Hottinger,101
Steve Wilson,Jay Hottinger,114
George Lang,Jay Hottinger,93
Tina Maharath,Jay Hottinger,82
Michael Rulli,Jay Hottinger,109
Jerry Cirino,Jay Hottinger,140
Sandra O'Brien,Jay Hottinger,77
Kirk Schuring,Jay Hottinger,88
Timothy Schaffer,Jay Hottinger,125
Matt Huffman,Jay Hottinger,26
Niraj Antani,Jay Hottinger,32
Dale Martin,Jay Hottinger,16
Matthew Dolan,Kenny Yuko,122
Vernon Sykes,Kenny Yuko,150
Sandra Williams,Kenny Yuko,105
Teresa Fedor,Kenny Yuko,147
Robert Hackett,Kenny Yuko,179
Andrew Brenner,Kenny Yuko,149
Kristina Roegner,Kenny Yuko,88
Terry Johnson,Kenny Yuko,152
Nickie Antonio,Kenny Yuko,218
Bob Peterson,Kenny Yuko,107
Louis Blessing,Kenny Yuko,165
Stephanie Kunze,Kenny Yuko,126
Mark Romanchuk,Kenny Yuko,116
Bill Reineke,Kenny Yuko,156
Hearcel Craig,Kenny Yuko,220
Nathan Manning,Kenny Yuko,128
Robert McColley,Kenny Yuko,79
Stephen Huffman,Kenny Yuko,121
Cecil Thomas,Kenny Yuko,253
Theresa Gavarone,Kenny Yuko,165
Frank Hoagland,Kenny Yuko,116
Steve Wilson,Kenny Yuko,137
George Lang,Kenny Yuko,99
Tina Maharath,Kenny Yuko,178
Michael Rulli,Kenny Yuko,150
Jerry Cirino,Kenny Yuko,191
Sandra O'Brien,Kenny Yuko,79
Kirk Schuring,Kenny Yuko,103
Timothy Schaffer,Kenny Yuko,138
Matt Huffman,Kenny Yuko,27
Niraj Antani,Kenny Yuko,23
Dale Martin,Kenny Yuko,23
Vernon Sykes,Matthew Dolan,89
Sandra Williams,Matthew Dolan,56
Teresa Fedor,Matthew Dolan,63
Robert Hackett,Matthew Dolan,127
Andrew Brenner,Matthew Dolan,107
Kristina Roegner,Matthew Dolan,73
Terry Johnson,Matthew Dolan,115
Nickie Antonio,Matthew Dolan,107
Bob Peterson,Matthew Dolan,87
Louis Blessing,Matthew Dolan,109
Stephanie Kunze,Matthew Dolan,91
Mark Romanchuk,Matthew Dolan,86
Bill Reineke,Matthew Dolan,117
Hearcel Craig,Matthew Dolan,110
Nathan Manning,Matthew Dolan,92
Robert McColley,Matthew Dolan,70
Stephen Huffman,Matthew Dolan,91
Cecil Thomas,Matthew Dolan,118
Theresa Gavarone,Matthew Dolan,120
Frank Hoagland,Matthew Dolan,91
Steve Wilson,Matthew Dolan,101
George Lang,Matthew Dolan,84
Tina Maharath,Matthew Dolan,73
Michael Rulli,Matthew Dolan,102
Jerry Cirino,Matthew Dolan,139
Sandra O'Brien,Matthew Dolan,65
Kirk Schuring,Matthew Dolan,82
Timothy Schaffer,Matthew Dolan,108
Matt Huffman,Matthew Dolan,25
Niraj Antani,Matthew Dolan,23
Dale Martin,Matthew Dolan,17
Sandra Williams,Vernon Sykes,77
Teresa Fedor,Vernon Sykes,105
Robert Hackett,Vernon Sykes,121
Andrew Brenner,Vernon Sykes,104
Kristina Roegner,Vernon Sykes,66
Terry Johnson,Vernon Sykes,106
Nickie Antonio,Vernon Sykes,139
Bob Peterson,Vernon Sykes,78
Louis Blessing,Vernon Sykes,111
Stephanie Kunze,Vernon Sykes,95
Mark Romanchuk,Vernon Sykes,75
Bill Reineke,Vernon Sykes,107
Hearcel Craig,Vernon Sykes,148
Nathan Manning,Vernon Sykes,90
Robert McColley,Vernon Sykes,60
Stephen Huffman,Vernon Sykes,90
Cecil Thomas,Vernon Sykes,148
Theresa Gavarone,Vernon Sykes,110
Frank Hoagland,Vernon Sykes,78
Steve Wilson,Vernon Sykes,97
George Lang,Vernon Sykes,71
Tina Maharath,Vernon Sykes,104
Michael Rulli,Vernon Sykes,96
Jerry Cirino,Vernon Sykes,116
Sandra O'Brien,Vernon Sykes,60
Kirk Schuring,Vernon Sykes,81
Timothy Schaffer,Vernon Sykes,88
Matt Huffman,Vernon Sykes,23
Niraj Antani,Vernon Sykes,20
Dale Martin,Vernon Sykes,14
Teresa Fedor,Sandra Williams,85
Robert Hackett,Sandra Williams,66
Andrew Brenner,Sandra Williams,57
Kristina Roegner,Sandra Williams,37
Terry Johnson,Sandra Williams,61
Nickie Antonio,Sandra Williams,101
Bob Peterson,Sandra Williams,47
Louis Blessing,Sandra Williams,65
Stephanie Kunze,Sandra Williams,59
Mark Romanchuk,Sandra Williams,38
Bill Reineke,Sandra Williams,60
Hearcel Craig,Sandra Williams,96
Nathan Manning,Sandra Williams,56
Robert McColley,Sandra Williams,27
Stephen Huffman,Sandra Williams,52
Cecil Thomas,Sandra Williams,102
Theresa Gavarone,Sandra Williams,60
Frank Hoagland,Sandra Williams,52
Steve Wilson,Sandra Williams,55
George Lang,Sandra Williams,35
Tina Maharath,Sandra Williams,87
Michael Rulli,Sandra Williams,57
Jerry Cirino,Sandra Williams,62
Sandra O'Brien,Sandra Williams,37
Kirk Schuring,Sandra Williams,47
Timothy Schaffer,Sandra Williams,58
Matt Huffman,Sandra Williams,9
Niraj Antani,Sandra Williams,9
Robert Hackett,Teresa Fedor,91
Andrew Brenner,Teresa Fedor,81
Kristina Roegner,Teresa Fedor,49
Terry Johnson,Teresa Fedor,75
Nickie Antonio,Teresa Fedor,136
Bob Peterson,Teresa Fedor,58
Louis Blessing,Teresa Fedor,87
Stephanie Kunze,Teresa Fedor,71
Mark Romanchuk,Teresa Fedor,62
Bill Reineke,Teresa Fedor,78
Hearcel Craig,Teresa Fedor,139
Nathan Manning,Teresa Fedor,71
Robert McColley,Teresa Fedor,35
Stephen Huffman,Teresa Fedor,72
Cecil Thomas,Teresa Fedor,145
Theresa Gavarone,Teresa Fedor,83
Frank Hoagland,Teresa Fedor,60
Steve Wilson,Teresa Fedor,78
George Lang,Teresa Fedor,47
Tina Maharath,Teresa Fedor,116
Michael Rulli,Teresa Fedor,77
