"name","people_id","first_name","middle_name","last_name","suffix","nickname","party_id","party","role_id","role","district","followthemoney_eid","votesmart_id","opensecrets_id","ballotpedia","knowwho_pid","committee_id"
"Matthew Dolan",540,"Matthew","J.","Dolan",NA,NA,2,"R",2,"Sen","SD-024",2678118,45154,NA,"Matt_Dolan",226937,0
"Jay Hottinger",561,"Jay",NA,"Hottinger",NA,NA,2,"R",2,"Sen","SD-031",13004821,8153,NA,"Jay_Hottinger",197832,0
"Matt Huffman",562,"Matt",NA,"Huffman",NA,NA,2,"R",2,"Sen","SD-012",4260244,58540,NA,"Matt_Huffman",248880,0
"Vernon Sykes",597,"Vernon",NA,"Sykes",NA,NA,1,"D",2,"Sen","SD-028",2614310,8396,NA,"Vernon_Sykes",197878,0
"Sandra Williams",607,"Sandra","R.","Williams",NA,NA,1,"D",2,"Sen","SD-021",13004525,60019,NA,"Sandra_Williams",236541,0
"Kenny Yuko",610,"Kenny",NA,"Yuko",NA,NA,1,"D",2,"Sen","SD-025",13004497,45847,NA,"Kenny_Yuko",226879,0
"Teresa Fedor",621,"Teresa",NA,"Fedor",NA,NA,1,"D",2,"Sen","SD-011",10238517,45710,NA,"Teresa_Fedor",206464,0
"Timothy Schaffer",634,"Timothy","O.","Schaffer",NA,"Tim",2,"R",2,"Sen","SD-020",2748082,45832,NA,"Tim_Schaffer",206424,0
"Kirk Schuring",636,"Kirk",NA,"Schuring",NA,NA,2,"R",2,"Sen","SD-029",3125245,8388,NA,"Kirk_Schuring",197888,0
"Robert Hackett",860,"Robert","D.","Hackett",NA,"Bob",2,"R",2,"Sen","SD-010",2939002,94656,NA,"Robert_Hackett",271781,0
"Andrew Brenner",10994,"Andrew","O.","Brenner",NA,NA,2,"R",2,"Sen","SD-019",2803225,120481,NA,"Andrew_Brenner",292384,0
"Kristina Roegner",11003,"Kristina",NA,"Roegner",NA,NA,2,"R",2,"Sen","SD-027",3007100,120539,NA,"Kristina_Daley_Roegner",290324,0
"Terry Johnson",11547,"Terry","A.","Johnson",NA,NA,2,"R",2,"Sen","SD-014",6687656,120608,NA,"Terry_Johnson,_Ohio_Politician",293510,0
"Nickie Antonio",11943,"Nickie","J.","Antonio",NA,NA,1,"D",2,"Sen","SD-023",3053351,76941,NA,"Nickie_Antonio",290309,0
"Bob Peterson",13938,"Bob",NA,"Peterson",NA,NA,2,"R",2,"Sen","SD-017",2685209,95755,NA,"Bob_Peterson_(Ohio)",292439,0
"Louis Blessing",14653,"Louis","W.","Blessing","III",NA,2,"R",2,"Sen","SD-008",10238815,136568,NA,"Louis_W._Blessing,_III",458728,0
"Stephanie Kunze",14658,"Stephanie","L.","Kunze",NA,NA,2,"R",2,"Sen","SD-016",10238809,135766,NA,"Stephanie_Kunze",395054,0
"Mark Romanchuk",14663,"Mark","J.","Romanchuk",NA,NA,2,"R",2,"Sen","SD-022",10238798,135742,NA,"Mark_Romanchuk",394955,0
"Niraj Antani",16311,"Niraj","J.","Antani",NA,NA,2,"R",2,"Sen","SD-006",26204979,155701,NA,"Niraj_Antani",512752,0
"Bill Reineke",16967,"William","F.","Reineke","Jr.","Bill",2,"R",2,"Sen","SD-026",17937996,150639,NA,"Bill_Reineke",497238,0
"Hearcel Craig",16972,"Hearcel","F.","Craig",NA,NA,1,"D",2,"Sen","SD-015",23442111,75244,NA,"Hearcel_Craig",497166,0
"Nathan Manning",16982,"Nathan","H.","Manning",NA,NA,2,"R",2,"Sen","SD-013",23442142,150617,NA,"Nathan_Manning",497199,0
"Robert McColley",16984,"Robert",NA,"McColley",NA,NA,2,"R",2,"Sen","SD-001",22119779,150620,NA,"Robert_McColley",486542,0
"Stephen Huffman",16989,"Stephen","A.","Huffman",NA,NA,2,"R",2,"Sen","SD-005",2804924,150587,NA,"Stephen_Huffman",497227,0
"Cecil Thomas",16994,"Cecil",NA,"Thomas",NA,NA,1,"D",2,"Sen","SD-009",2845298,75054,NA,"Cecil_Thomas",486602,0
"Theresa Gavarone",17973,"Theresa",NA,"Gavarone",NA,NA,2,"R",2,"Sen","SD-002",42430827,160587,NA,"Theresa_Gavarone",592358,0
"Frank Hoagland",19139,"Frank",NA,"Hoagland",NA,NA,2,"R",2,"Sen","SD-030",15973126,166895,NA,"Frank_Hoagland",568696,0
"Steve Wilson",19140,"Steve",NA,"Wilson",NA,NA,2,"R",2,"Sen","SD-007",43466576,176515,NA,"Steven_Wilson",614811,0
"George Lang",19413,"George","F.","Lang",NA,NA,2,"R",2,"Sen","SD-004",14925689,78001,NA,"George_Lang",636633,0
"Tina Maharath",20197,"Tina",NA,"Maharath",NA,NA,1,"D",2,"Sen","SD-003",44422985,178998,NA,"Tina_Maharath",657157,0
"Michael Rulli",20198,"Michael",NA,"Rulli",NA,NA,2,"R",2,"Sen","SD-033",44423028,179016,NA,"Michael_Rulli",659865,0
"Jerry Cirino",22630,"Jerry","C.","Cirino",NA,NA,2,"R",2,"Sen","SD-018",15376897,189392,NA,"Jerry_Cirino",729709,0
"Sandra O'Brien",22760,"Sandra",NA,"O'Brien",NA,NA,2,"R",2,"Sen","SD-032",6642406,45864,NA,"Sandra_O'Brien_(Ohio)",486259,0
"Dale Martin",23153,"Dale","B.","Martin",NA,NA,1,"D",2,"Sen","SD-021",0,208244,NA,"Dale_Martin_(Ohio)",811176,0
