"","Ashland Uni","Baldwin Wallace Uni","Bowling Green State Uni-Main Campus","Case Western Reserve Uni","Cedarville Uni","Central State Uni","Cleveland State Uni","Denison Uni","Franciscan Uni of Steubenville","Franklin Uni","John Carroll Uni","Kent State Uni at Kent","Miami Uni-Oxford","Oberlin Col","Ohio Northern Uni","Ohio State Uni-Main Campus","Ohio Uni-Main Campus","Otterbein Uni","Uni of Akron Main Campus","Uni of Cincinnati-Main Campus","Uni of Dayton","Uni of Toledo","Wright State Uni-Main Campus","Xavier Uni","Youngstown State Uni"
"Education",88,60,439,3,91,357,80,13,30,19,27,379,262,0,22,428,261,27,144,201,163,105,125,37,122
"ArEthncCltrlGna",0,0,12,4,0,0,10,22,0,0,0,0,25,56,0,32,17,9,0,6,3,8,0,1,0
"BlgclandBmdclSc",54,50,134,255,49,7,68,51,26,0,45,228,294,80,29,1110,233,42,102,376,87,205,67,56,90
"BsnssMngmntMraR",104,142,513,148,120,324,438,55,108,895,221,894,1108,0,80,2535,712,59,356,1403,586,483,294,313,295
"EnglshLaLtrtr/L",0,17,88,21,20,1,30,22,30,0,12,64,80,54,7,144,35,16,16,65,28,33,38,24,51
"History",10,12,12,21,8,1,22,15,18,0,12,30,45,44,6,113,33,8,15,28,18,14,16,17,22
"LbrlArtsandScnG",0,0,37,2,0,0,7,0,6,0,0,93,3,0,0,15,41,0,6,14,6,101,0,56,141
"Mlt/IntrdscplnS",5,4,27,97,5,75,1,41,0,0,30,55,73,7,1,77,207,4,35,204,15,24,19,61,1
"NtrlRsrcsandCns",7,9,24,7,12,0,36,26,0,0,4,77,0,39,10,218,20,36,0,54,19,33,0,15,10
"PhlsphyandRlgsS",5,3,4,11,0,0,5,12,37,0,11,6,17,22,5,25,6,0,5,7,21,11,4,4,5
"Psychology",13,39,128,88,55,15,196,44,47,67,40,358,265,57,11,722,259,36,83,316,109,68,107,57,89
"Social Sciences",15,28,59,164,15,8,167,128,22,148,59,152,310,100,12,978,176,30,72,215,61,48,62,68,60
"VslandPrfrmngAr",11,127,205,43,65,6,143,41,4,0,0,414,96,249,19,284,210,41,48,332,56,32,79,43,54
"FmlyanCScncs/HS",0,0,69,16,0,0,0,0,17,0,0,52,2,0,0,302,78,0,12,9,0,0,0,0,1
"HlthPrfssnsanRP",104,69,261,75,135,0,453,18,40,118,0,662,153,0,103,1236,1414,93,281,919,228,498,167,322,230
"PblcAdmnstrtaSS",9,0,49,0,29,12,60,0,18,2,0,0,68,0,0,250,57,0,39,97,0,37,37,9,91
"CmmnctnJrnlsaRP",55,20,77,0,46,6,118,65,36,28,41,284,303,0,14,516,339,25,66,328,158,71,31,43,26
"CmptrandInfrmSa",9,27,42,130,40,4,88,28,17,124,17,121,186,34,17,140,57,7,122,531,45,66,109,23,70
"FrgnLnggsLtrtaL",0,5,16,15,20,0,12,15,11,0,9,45,44,33,1,195,27,4,3,29,15,8,12,16,5
"HmlndScrtyLwEnF",20,17,120,0,19,204,0,0,6,175,0,127,0,0,17,0,10,0,97,202,52,64,0,26,83
"MthmtcsandSttst",2,4,24,40,8,1,21,16,14,0,5,32,111,29,9,232,17,11,18,41,7,17,17,15,22
"PrksRcrtnLsrFta",10,32,175,0,16,17,0,26,0,26,64,138,256,0,23,168,102,30,32,138,24,0,39,95,64
"PhysicalSciencs",2,11,66,71,16,3,20,16,1,0,18,49,53,39,4,164,62,9,25,79,4,20,26,15,9
"Engineering",0,13,93,364,90,17,186,0,3,0,5,93,244,5,103,1724,205,17,347,816,339,409,112,1,106
"ArchtctrandRltS",0,0,53,1,0,0,0,0,0,0,0,73,79,0,0,100,0,0,0,110,0,0,0,0,0
"Engnrng/Eng-T/T",0,0,141,0,0,1,42,0,0,0,0,50,14,0,8,0,0,0,109,9,46,92,0,0,37
