".tail",".head"
"20","2"
"70","2"
"365","2"
"42","41"
"57","55"
"80","70"
"90","70"
"90","80"
"91","90"
"92","90"
"92","91"
"93","91"
"94","93"
"95","94"
"100","95"
"101","100"
"130","100"
"135","100"
"140","100"
"110","101"
"140","101"
"115","110"
"140","110"
"140","115"
"135","130"
"140","135"
"145","135"
"155","135"
"145","140"
"150","140"
"160","140"
"165","140"
"150","145"
"155","145"
"160","145"
"160","150"
"160","155"
"165","160"
"205","200"
"211","210"
"255","210"
"212","211"
"220","211"
"255","211"
"220","212"
"255","212"
"221","220"
"225","220"
"230","220"
"232","220"
"255","220"
"325","220"
"225","223"
"305","223"
"255","225"
"305","225"
"325","225"
"232","230"
"235","230"
"600","230"
"290","255"
"305","255"
"316","255"
"390","255"
"316","290"
"317","290"
"365","290"
"368","290"
"369","290"
"370","290"
"310","305"
"316","305"
"317","305"
"325","305"
"349","305"
"317","310"
"344","310"
"345","310"
"349","310"
"360","310"
"369","310"
"317","316"
"369","317"
"331","325"
"349","325"
"343","339"
"345","339"
"350","339"
"345","343"
"350","343"
"355","343"
"345","344"
"346","344"
"349","344"
"346","345"
"355","345"
"360","345"
"355","350"
"640","350"
"640","352"
"360","355"
"640","355"
"360","359"
"369","359"
"369","360"
"366","365"
"367","365"
"368","365"
"369","365"
"370","365"
"372","365"
"373","365"
"375","365"
"385","365"
"705","365"
"710","365"
"712","365"
"731","365"
"740","365"
"367","366"
"368","367"
"370","367"
"370","368"
"370","369"
"372","371"
"373","371"
"630","371"
"640","371"
"373","372"
"640","372"
"630","373"
"640","373"
"380","375"
"385","375"
"385","380"
"390","380"
"433","404"
"438","404"
"471","411"
"481","411"
"433","420"
"433","432"
"435","432"
"436","432"
"437","432"
"438","432"
"439","432"
"615","432"
"435","433"
"438","433"
"436","434"
"439","434"
"461","434"
"475","434"
"600","435"
"615","435"
"439","436"
"475","436"
"483","436"
"615","436"
"620","436"
"438","437"
"439","437"
"450","437"
"452","437"
"450","438"
"451","438"
"452","439"
"461","439"
"451","450"
"461","452"
"475","471"
"481","471"
"482","471"
"483","471"
"484","471"
"484","481"
"483","482"
"484","482"
"490","482"
"625","482"
"620","483"
"625","483"
"490","484"
"540","484"
"500","490"
"516","490"
"517","490"
"540","490"
"551","490"
"625","490"
"501","500"
"510","500"
"517","500"
"625","500"
"510","501"
"520","501"
"530","501"
"625","501"
"516","510"
"517","510"
"541","510"
"551","510"
"553","510"
"517","516"
"522","520"
"530","520"
"530","522"
"531","522"
"679","522"
"531","530"
"625","530"
"625","531"
"679","531"
"551","540"
"565","540"
"551","541"
"552","541"
"553","541"
"560","541"
"572","541"
"552","551"
"553","551"
"565","551"
"571","551"
"560","552"
"571","552"
"565","560"
"570","560"
"571","560"
"572","560"
"571","565"
"615","600"
"616","615"
"620","615"
"620","616"
"625","620"
"651","620"
"651","625"
"640","630"
"645","630"
"700","630"
"701","630"
"770","630"
"645","640"
"652","640"
"652","645"
"663","645"
"670","645"
"690","645"
"663","651"
"666","651"
"670","651"
"660","652"
"663","652"
"666","652"
"666","660"
"666","663"
"670","663"
"670","666"
"679","670"
"690","670"
"692","670"
"694","670"
"696","670"
"698","670"
"698","679"
"696","694"
"698","696"
"701","700"
"702","700"
"704","700"
"710","700"
"770","700"
"704","701"
"705","701"
"703","702"
"704","702"
"710","702"
"704","703"
"705","703"
"710","703"
"705","704"
"710","705"
"712","710"
"713","710"
"731","710"
"750","710"
"760","710"
"770","710"
"775","710"
"790","710"
"812","710"
"816","710"
"732","731"
"760","750"
"770","750"
"771","750"
"775","750"
"780","750"
"790","750"
"775","770"
"775","771"
"800","775"
"812","775"
"811","800"
"812","800"
"820","800"
"812","811"
"816","811"
"816","812"
"830","820"
"835","820"
"850","820"
"850","830"
"910","850"
"910","900"
"940","910"
