"COWcode","v2x_polyarchy"
70,0.667
115,0.79
380,0.912
225,0.89
452,0.665
560,0.748
740,0.842
775,0.094
365,0.412
339,0.401
651,0.21
679,0.269
100,0.547
290,0.88
140,0.857
2,0.868
235,0.874
92,0.531
771,0.513
145,0.751
41,0.434
91,0.554
432,0.515
770,0.204
135,0.432
433,0.678
625,0.132
816,0.153
700,0.072
160,0.84
530,0.241
750,0.733
501,0.377
731,0.085
732,0.842
347,0.24
660,0.331
475,0.481
840,0.591
510,0.49
713,0.778
800,0.515
500,0.313
101,0.58
434,0.623
760,0.09
439,0.515
811,0.323
850,0.675
541,0.427
790,0.358
93,0.594
436,0.544
551,0.497
552,0.284
438,0.269
437,0.275
435,0.309
20,0.836
900,0.888
571,0.702
516,0.187
402,0.766
482,0.345
155,0.88
94,0.898
860,0.226
130,0.696
220,0.877
255,0.902
90,0.553
630,0.243
645,0.145
205,0.887
325,0.844
663,0.189
367,0.81
570,0.317
450,0.349
553,0.474
781,0.16
712,0.688
600,0.241
210,0.856
95,0.731
910,0.524
694,0.02
451,0.231
230,0.89
652,0.152
616,0.189
640,0.606
369,0.386
200,0.857
165,0.875
615,0.326
540,0.158
371,0.418
373,0.248
370,0.299
471,0.311
483,0.286
710,0.101
490,0.151
484,0.161
522,0.255
42,0.656
531,0.121
481,0.342
420,0.257
372,0.371
404,0.426
51,0.689
705,0.271
703,0.285
812,0.087
620,0.072
580,0.52
359,0.586
565,0.654
NA,0.495
517,0.115
520,0.185
780,0.5
572,0.128
702,0.238
461,0.299
52,0.773
701,0.07
NA,0.174
704,0.157
305,0.859
692,0.066
53,0.758
211,0.883
346,0.643
355,0.722
581,0.227
344,0.77
40,0.114
352,0.791
316,0.882
390,0.907
411,0.188
366,0.866
950,0.351
375,0.868
350,0.881
110,0.526
NA,0.374
395,0.874
666,0.771
690,0.287
368,0.826
212,0.877
343,0.458
820,0.273
338,0.796
590,0.751
341,0.426
920,0.887
385,0.891
698,0.052
150,0.544
360,0.617
403,0.651
670,0.017
345,0.365
591,0.371
830,0.394
317,0.854
349,0.845
940,0.354
935,0.603
696,0.028
310,0.847
NA,0.289
