"ccode","stateabb","year","milex","milper","irst","pec","tpop","upop","cinc","version"
2,"USA",2000,303136000,1366,101803,3283713,278357,75342,0.14268766,2021
20,"CAN",2000,8320000,59,16595,356625,31147,12178,0.011292482,2021
31,"BHM",2000,30000,1,0,209,307,214,4.3155731e-05,2021
40,"CUB",2000,735000,58,336,12406,11201,4448,0.0014939543,2021
41,"HAI",2000,43000,-9,0,2235,8222,1777,0.00049730152,2021
42,"DOM",2000,169000,24,39,4737,8495,3599,0.00082597323,2021
51,"JAM",2000,42000,3,0,2766,2583,793,0.00020245044,2021
52,"TRI",2000,62000,3,741,27125,1295,0,0.00051930733,2021
53,"BAR",2000,13000,1,0,177,270,0,1.9712494e-05,2021
54,"DMA",2000,0,0,0,12,71,0,2.0863638e-06,2021
55,"GRN",2000,0,0,0,23,94,0,2.841527e-06,2021
56,"SLU",2000,0,0,0,37,154,0,4.6476771e-06,2021
57,"SVG",2000,0,0,0,14,114,0,3.2912078e-06,2021
58,"AAB",2000,4000,0,0,18,68,0,2.8803611e-06,2021
60,"SKN",2000,-9,0,0,35,38,0,1.7223051e-06,2021
70,"MEX",2000,5229000,193,15631,208856,98881,38767,0.014036591,2021
80,"BLZ",2000,18000,1,0,182,241,0,1.9982715e-05,2021
90,"GUA",2000,155000,31,167,8226,11385,1569,0.00084375381,2021
91,"HON",2000,95000,8,8,2532,6485,1531,0.00042210479,2021
92,"SAL",2000,168000,17,41,3863,6276,2324,0.00059063145,2021
93,"NIC",2000,24000,16,0,3268,5074,1187,0.00040707976,2021
94,"COS",2000,83000,-9,0,1107,4023,828,0.00025422376,2021
95,"PAN",2000,130000,-9,0,4523,2856,816,0.00027157503,2021
100,"COL",2000,3062000,152,660,46368,42321,20919,0.0054190364,2021
101,"VEN",2000,1397000,56,3835,142070,24170,11663,0.0047308109,2021
110,"GUY",2000,7000,2,0,423,861,120,5.5622142e-05,2021
115,"SUR",2000,21000,2,0,980,417,234,6.237864e-05,2021
130,"ECU",2000,480000,58,58,15029,12646,5740,0.0015691345,2021
135,"PER",2000,888000,115,751,17721,25662,12345,0.0031887817,2021
140,"BRA",2000,14378000,288,27865,233968,170115,82372,0.025058106,2021
145,"BOL",2000,128000,32,0,7544,8329,4374,0.00096565974,2021
150,"PAR",2000,90000,20,77,3768,5496,1300,0.00049332326,2021
155,"CHL",2000,3158000,87,1352,38754,15211,9471,0.0032481861,2021
160,"ARG",2000,4776000,71,4474,103265,37032,16723,0.0060171359,2021
165,"URU",2000,378000,24,38,4323,3337,1349,0.00052575616,2021
200,"UKG",2000,35655000,212,15155,370218,58830,52956,0.022179939,2021
205,"IRE",2000,629000,12,360,16194,3730,616,0.00062702468,2021
210,"NTH",2000,6027000,52,5666,171065,15786,4924,0.0055032605,2021
211,"BEL",2000,3212000,39,11636,91653,10161,1497,0.0046689678,2021
212,"LUX",2000,129000,1,2571,2104,431,0,0.00057456375,2021
220,"FRN",2000,34053000,294,20954,270485,59080,10589,0.01883278,2021
221,"MNC",2000,0,0,0,147,34,0,2.573933e-06,2021
223,"LIE",2000,0,0,0,88,33,0,1.8886436e-06,2021
225,"SWZ",2000,2924000,28,1000,18930,7386,966,0.001501797,2021
230,"SPN",2000,7063000,166,15874,176496,39630,12996,0.010014599,2021
232,"AND",2000,0,0,0,52,78,0,2.7248295e-06,2021
235,"POR",2000,2221000,45,1088,33124,9875,1516,0.0017819884,2021
255,"GMY",2000,27924000,221,46376,472573,82220,25324,0.026201505,2021
290,"POL",2000,3092000,217,10498,167979,38765,11418,0.0082896445,2021
305,"AUS",2000,1612000,40,5707,37048,8211,2221,0.0025877673,2021
310,"HUN",2000,805000,44,1871,38267,10036,2947,0.0018279748,2021
316,"CZR",2000,1148000,58,6216,59893,10244,2160,0.0030375076,2021
317,"SLO",2000,342000,39,3733,26848,5387,674,0.0016088999,2021
325,"ITA",2000,20488000,251,26759,277277,57298,13076,0.017141322,2021
331,"SNM",2000,0,0,0,132,27,0,2.214191e-06,2021
338,"MLT",2000,27000,2,0,236,389,0,3.4159148e-05,2021
339,"ALB",2000,113000,54,5,1301,3113,359,0.00057008123,2021
343,"MAC",2000,71000,16,161,5507,2024,458,0.00032587221,2021
344,"CRO",2000,509000,61,71,15081,4473,1028,0.00096625491,2021
345,"YUG",2000,1826000,98,696,24416,10640,2864,0.0020734437,2021
346,"BOS",2000,164000,30,77,5221,3972,566,0.00049552228,2021
349,"SLV",2000,273000,9,519,5512,1986,258,0.00036496343,2021
350,"GRC",2000,5528000,159,1088,64121,10645,2056,0.0037409144,2021
352,"CYP",2000,361000,10,0,2150,786,355,0.00022638103,2021
355,"BUL",2000,343000,80,2002,30691,8225,2398,0.0018547362,2021
359,"MLD",2000,140000,10,908,1888,4380,802,0.00049499184,2021
360,"ROM",2000,940000,207,4672,61546,22327,6942,0.0046035503,2021
365,"RUS",2000,52000000,1004,59136,1056740,146934,66484,0.051474065,2021
366,"EST",2000,78000,5,1,2774,1396,506,0.00016776159,2021
367,"LAT",2000,71000,5,498,3913,2357,887,0.00033634761,2021
368,"LIT",2000,199000,13,1,12096,3670,1421,0.0004998293,2021
369,"UKR",2000,5100000,304,31767,200591,50456,18729,0.014867467,2021
370,"BLR",2000,2100000,83,1502,47604,10236,4702,0.002579527,2021
371,"ARM",2000,690000,41,0,2471,3520,1454,0.00070556393,2021
372,"GRG",2000,290000,27,7,3433,4968,1590,0.00058080809,2021
373,"AZE",2000,830000,72,8,22550,7734,2392,0.0013950337,2021
375,"FIN",2000,1560000,32,4096,41556,5176,1426,0.0020966486,2021
380,"SWD",2000,4610000,53,5227,57163,8910,7956,0.0039427732,2021
385,"NOR",2000,2923000,27,679,46185,4465,997,0.0016570357,2021
390,"DEN",2000,2395000,22,801,30636,5293,1129,0.0013966458,2021
395,"ICE",2000,0,-9,50,1045,281,110,4.6540441e-05,2021
402,"CAP",2000,4000,1,0,64,428,0,2.0976217e-05,2021
403,"STP",2000,-9,-9,0,33,147,0,6.6158605e-06,2021
404,"GNB",2000,3000,7,0,698,1213,199,0.00011284868,2021
411,"EQG",2000,4000,1,0,191,453,173,3.8138827e-05,2021
420,"GAM",2000,3000,1,0,199,1305,0,4.6397367e-05,2021
432,"MLI",2000,64000,7,0,1599,11234,1100,0.00048925821,2021
433,"SEN",2000,62000,9,0,3150,9481,2606,0.00060439436,2021
434,"BEN",2000,37000,5,0,2114,6097,1028,0.00032662941,2021
435,"MAA",2000,24000,16,5,493,2670,559,0.00025634619,2021
436,"NIR",2000,27000,5,0,2638,10730,993,0.0004548133,2021
437,"CDI",2000,82000,8,0,11969,14786,3906,0.00095813698,2021
438,"GUI",2000,46000,10,0,3701,7430,908,0.00041077076,2021
439,"BFO",2000,36000,7,0,2381,11937,1205,0.00052078266,2021
450,"LBR",2000,25000,15,0,1497,3154,655,0.00028074358,2021
451,"SIE",2000,10000,3,0,1688,4854,739,0.00024170941,2021
452,"GHA",2000,40000,7,25,8554,20212,3463,0.0010194537,2021
461,"TOG",2000,31000,7,0,2560,4629,604,0.00026847309,2021
471,"CAO",2000,123000,7,0,8483,15085,2609,0.00081521017,2021
475,"NIG",2000,518000,76,15,63841,111506,22234,0.0064053745,2021
481,"GAB",2000,125000,5,0,2469,1226,477,0.0001664779,2021
482,"CEN",2000,14000,3,0,637,3615,769,0.00019933905,2021
483,"CHA",2000,14000,30,0,1874,7651,1297,0.00057751616,2021
484,"CON",2000,73000,10,0,1363,2943,1786,0.00034319947,2021
490,"DRC",2000,400000,56,30,20873,51654,12777,0.00328254,2021
500,"UGA",2000,135000,50,30,10269,21778,1222,0.0012371318,2021
501,"KEN",2000,278000,22,20,18775,30080,3229,0.0015468467,2021
510,"TAZ",2000,144000,34,0,15495,33517,5391,0.0018541329,2021
516,"BUI",2000,42000,40,0,1726,6695,375,0.00055181101,2021
517,"RWA",2000,98000,70,0,1586,7733,350,0.00081843307,2021
520,"SOM",2000,40000,50,0,2961,10097,1172,0.00080493663,2021
522,"DJI",2000,23000,8,0,115,638,400,0.00011976287,2021
530,"ETH",2000,670000,352,0,27686,62565,3645,0.0051864516,2021
