".tail",".head"
"2","20"
"2","70"
"20","70"
"90","92"
"91","92"
"90","94"
"92","94"
"90","95"
"94","95"
"95","101"
"100","101"
"110","115"
"95","130"
"100","130"
"130","135"
"101","140"
"140","160"
"155","160"
"2","200"
"200","205"
"200","210"
"200","211"
"210","211"
"2","220"
"200","220"
"210","220"
"211","220"
"200","225"
"220","225"
"200","230"
"210","230"
"220","230"
"230","235"
"2","255"
"200","255"
"205","255"
"210","255"
"211","255"
"220","255"
"225","255"
"230","255"
"255","290"
"225","305"
"255","305"
"305","310"
"255","316"
"290","316"
"305","316"
"316","317"
"2","325"
"200","325"
"210","325"
"211","325"
"220","325"
"225","325"
"230","325"
"255","325"
"305","325"
"344","349"
"255","365"
"290","365"
"325","365"
"366","367"
"365","369"
"365","370"
"369","370"
"371","372"
"365","375"
"366","375"
"200","380"
"210","380"
"211","380"
"375","380"
"200","385"
"375","385"
"380","385"
"375","390"
"380","390"
"385","390"
"54","411"
"55","411"
"56","411"
"57","411"
"60","411"
"54","420"
"60","451"
"56","482"
"56","516"
"411","516"
"54","517"
"420","517"
"451","517"
"60","520"
"411","520"
"482","520"
"54","522"
"55","522"
"56","522"
"57","522"
"411","522"
"420","522"
"411","565"
"420","565"
"451","565"
"516","565"
"517","565"
"520","565"
"522","565"
"55","571"
"60","571"
"411","571"
"482","571"
"522","571"
"565","571"
"60","591"
"420","591"
"451","591"
"482","591"
"325","615"
"325","620"
"616","620"
"615","640"
"645","663"
"369","701"
"702","703"
"702","704"
"703","704"
"365","705"
"2","710"
"200","710"
"255","710"
"2","713"
"710","713"
"2","732"
"670","732"
"696","732"
"710","732"
"713","732"
"2","740"
"20","740"
"255","740"
"670","740"
"696","740"
"710","740"
"713","740"
"732","740"
"475","750"
"670","750"
"696","750"
"57","781"
"60","781"
"411","781"
"482","781"
"516","781"
"520","781"
"565","781"
"571","781"
"710","800"
"740","800"
"2","820"
"710","820"
"713","820"
"732","820"
"740","820"
"800","820"
"710","830"
"713","830"
"732","830"
"800","830"
"820","830"
"713","840"
"820","840"
"830","840"
"732","850"
"740","850"
"800","850"
"820","850"
"830","850"
"710","900"
"713","900"
"732","900"
"740","900"
"850","900"
"900","920"
