"node_1","node_2","edge"
10041,1039,"Weak"
1025,1039,"Strong"
10041,1055,"Strong"
1025,1055,"Weak"
1039,1055,"Strong"
10041,10680063,"Strong"
1055,10688628,"Medium"
10680063,10701104,"Medium"
1025,10770383,"Medium"
1039,10770383,"Strong"
1025,10812576,"Weak"
1039,10812576,"Strong"
10770383,10812576,"Strong"
10041,10986,"Strong"
1025,10986,"Weak"
1039,10986,"Strong"
1055,10986,"Strong"
10680063,10986,"Weak"
10041,1116,"Strong"
1039,1116,"Medium"
1055,1116,"Strong"
10680063,1116,"Medium"
10688628,1116,"Strong"
10986,1116,"Strong"
10041,1137,"Strong"
10680063,1137,"Strong"
10986,1137,"Strong"
1116,1137,"Weak"
10041,115571,"Strong"
1055,115571,"Strong"
10680063,115571,"Medium"
10688628,115571,"Strong"
10986,115571,"Strong"
1116,115571,"Strong"
1137,115571,"Medium"
10041,11852,"Strong"
1025,11852,"Strong"
1039,11852,"Strong"
1055,11852,"Strong"
10680063,11852,"Strong"
10770383,11852,"Weak"
1084,11852,"Weak"
1087,11852,"Strong"
10986,11852,"Strong"
1116,11852,"Strong"
1137,11852,"Strong"
115571,11852,"Strong"
10041,119,"Strong"
1025,119,"Strong"
1039,119,"Strong"
1055,119,"Strong"
10680063,119,"Strong"
10688628,119,"Strong"
10770271,119,"Weak"
1087,119,"Medium"
10986,119,"Strong"
1116,119,"Strong"
1137,119,"Strong"
115571,119,"Strong"
11852,119,"Strong"
10041,11939,"Weak"
1025,11939,"Weak"
1039,11939,"Strong"
10770383,11939,"Strong"
10812576,11939,"Strong"
1087,11939,"Weak"
10986,11939,"Medium"
11035104,11939,"Weak"
1116,11939,"Weak"
115571,11939,"Weak"
11567,11939,"Strong"
11852,11939,"Strong"
119,11939,"Strong"
10041,11953976,"Medium"
1025,11953976,"Weak"
1039,11953976,"Strong"
1055,11953976,"Strong"
10986,11953976,"Medium"
115571,11953976,"Strong"
11852,11953976,"Weak"
119,11953976,"Strong"
10041,11989,"Strong"
1055,11989,"Weak"
10680063,11989,"Strong"
10986,11989,"Strong"
1116,11989,"Strong"
1137,11989,"Strong"
115571,11989,"Strong"
11852,11989,"Strong"
119,11989,"Strong"
1055,12065069,"Weak"
10986,12065069,"Weak"
1137,12065069,"Weak"
11852,12065069,"Medium"
119,12065069,"Weak"
11953976,12065069,"Weak"
11989,12065069,"Weak"
10041,12096755,"Strong"
1025,12096755,"Medium"
1039,12096755,"Strong"
1055,12096755,"Strong"
10986,12096755,"Strong"
1116,12096755,"Strong"
115571,12096755,"Weak"
11852,12096755,"Strong"
119,12096755,"Strong"
11939,12096755,"Weak"
11953976,12096755,"Strong"
11989,12096755,"Strong"
10688628,12096981,"Strong"
10701104,12096981,"Weak"
1116,12096981,"Medium"
115571,12096981,"Medium"
119,12096981,"Medium"
10680063,12100803,"Strong"
10701104,12100803,"Strong"
1137,12100803,"Strong"
11989,12100803,"Weak"
12096981,12100803,"Weak"
10041,12102607,"Strong"
1025,12102607,"Weak"
1039,12102607,"Strong"
1055,12102607,"Weak"
10770383,12102607,"Weak"
1087,12102607,"Strong"
10986,12102607,"Strong"
1116,12102607,"Medium"
1137,12102607,"Weak"
115571,12102607,"Medium"
11852,12102607,"Strong"
119,12102607,"Strong"
11939,12102607,"Weak"
11989,12102607,"Medium"
12096755,12102607,"Strong"
10041,12525,"Strong"
1039,12525,"Medium"
1055,12525,"Strong"
10680063,12525,"Strong"
10701104,12525,"Strong"
10770271,12525,"Strong"
10986,12525,"Strong"
1116,12525,"Strong"
1137,12525,"Strong"
115571,12525,"Strong"
11852,12525,"Strong"
119,12525,"Strong"
11939,12525,"Strong"
11989,12525,"Strong"
12096755,12525,"Strong"
12100803,12525,"Strong"
12102607,12525,"Strong"
10770271,1269570,"Strong"
12096787,1269570,"Strong"
10041,1277,"Weak"
10680063,1277,"Strong"
10688628,1277,"Weak"
10986,1277,"Weak"
1116,1277,"Strong"
1137,1277,"Strong"
115571,1277,"Weak"
11852,1277,"Strong"
119,1277,"Strong"
11989,1277,"Strong"
12096981,1277,"Weak"
12102607,1277,"Weak"
12525,1277,"Strong"
1269570,1277,"Strong"
1039,130,"Strong"
10812576,130,"Weak"
10986,130,"Weak"
1116,130,"Weak"
