cname,ccode,ti_cpi,vdem_academ,wdi_fertility,wdi_afp,bl_asymf,wdi_expedu,wdi_elprodcoal,wef_iu,wdi_foodins,ht_colonial,lp_legor,cai_foetal,cai_mental,cai_physical,ccp_initiat,ccp_market,h_j,wdi_homicides,ccp_strike,wdi_lfpr,br_pvote,br_elect,van_part,bmr_demdur,fh_polity2,vdem_polyarchy,mad_gdppc,top_top1_income_share,wef_sp
Afghanistan,4,16,0.5600000023841858,4.473000049591064,2.644596815109253,4.8260002,4.0588698387146,NA,NA,17.29999923706055,0,2,0,0,0,2,2,0,6.655560970306396,3,50.34999847412109,0,2,19.63999938964844,219,3.5,0.3440000116825104,1934.555053710938,0.1525,NA
Albania,8,36,0.8759999871253967,1.616999983787537,0.6428240537643433,10.972,3.611720085144043,0,71.84703826904297,10,0,3,1,1,1,1,1,0,2.28949236869812,1,68.31999969482422,1,3,52.79999923706055,22,8.083333,0.5199999809265137,11104.166015625,0.090800002,57.33333206176758
Algeria,12,35,0.3379999995231628,3.023000001907349,2.517998456954956,7.71,NA,0,59.57968521118164,9.300000190734863,6,2,0,1,1,2,2,0,1.36427640914917,1,46.40999984741211,1,2,25.09000015258789,57,4.25,0.3009999990463257,14228.025390625,0.099100001,139.6666717529297
Andorra,20,NA,NA,NA,NA,NA,3.2467200756073,NA,NA,NA,0,2,0,0,0,2,2,NA,0,3,NA,NA,NA,20.60000038146973,25,NA,NA,NA,NA,NA
Angola,24,19,0.4399999976158142,5.519000053405762,0.92084938287735,NA,NA,0,14.33907890319824,24,7,2,0,0,0,2,1,0,NA,2,78.029998779296875,1,2,24.20000076293945,44,3.25,0.3700000047683716,7771.44189453125,0.25979999,42
Antigua and Barbuda,28,NA,NA,1.99399995803833,NA,NA,NA,NA,NA,NA,5,NA,0,0,0,2,2,NA,NA,3,NA,0,3,41.40000152587891,15,NA,NA,NA,NA,NA
Azerbaijan,31,25,0.0769999995827675,1.730000019073486,1.609662652015686,NA,2.455430030822754,0,79.79999542236328,0,0,NA,1,1,1,1,1,0,2.201107501983643,1,72.160003662109375,0,2,34.40000152587891,28,1.1666666,0.1969999969005585,16628.0546875,0.14309999,88.66666412353516
Argentina,32,40,0.9350000023841858,2.260999917984009,0.5118802189826965,10.206,5.462230205535889,2.02956748008728,74.29490661621094,12.89999961853027,2,2,0,0,1,1,2,0,5.324478626251221,1,69.20999908447266,1,3,58.61999893188477,36,8.916666,0.7789999842643738,18556.3828125,0.1534,364.6666564941406
Australia,36,77,0.847000002861023,1.740000009536743,0.4383696019649506,12.457,5.124249935150146,62.87161636352539,86.54505157470703,3.799999952316284,0,1,1,1,1,2,2,1,0.8916323781013489,3,78.06999969482422,0,3,60.77999877929688,118,10,0.8650000095367432,49830.80078125,0.1292,852.33331298828125
Austria,40,76,0.9729999899864196,1.470000028610229,0.496608167886734,10.779,5.358039855957031,8.2266082763671875,87.71046447753906,1.100000023841858,0,4,1,1,1,1,2,1,0.9672285914421082,3,76.62999725341797,1,3,58.4900016784668,73,10,0.8460000157356262,42988.0703125,0.099200003,579
