FIPS,State,County,Total,Age_under_44,Age_45_65,Age_over_65,Male,Female
1001,Alabama,Autauga,2000,466,957,576,1687,313
1003,Alabama,Baldwin,5073,936,1553,2584,4648,425
1005,Alabama,Barbour,605,97,242,266,537,68
1007,Alabama,Bibb,278,56,95,127,252,26
1009,Alabama,Blount,771,159,217,395,724,47
1011,Alabama,Bullock,152,22,67,63,133,19
1013,Alabama,Butler,414,82,168,164,362,52
1015,Alabama,Calhoun,3228,540,1177,1511,2847,381
1017,Alabama,Chambers,663,127,201,335,601,62
1019,Alabama,Cherokee,419,59,124,236,395,24
1021,Alabama,Chilton,736,161,243,332,678,58
1023,Alabama,Choctaw,241,50,93,98,209,32
1025,Alabama,Clarke,485,94,189,202,439,46
1027,Alabama,Clay,269,50,81,138,257,12
1029,Alabama,Cleburne,190,32,50,108,180,10
1031,Alabama,Coffee,2853,796,1225,832,2433,420
1033,Alabama,Colbert,1071,209,337,525,988,83
1035,Alabama,Conecuh,274,43,115,116,243,31
1037,Alabama,Coosa,239,32,87,120,219,20
1039,Alabama,Covington,862,139,277,446,791,71
1041,Alabama,Crenshaw,290,67,107,116,251,39
1043,Alabama,Cullman,1345,315,424,606,1224,121
1045,Alabama,Dale,2629,648,1076,905,2262,367
1047,Alabama,Dallas,879,132,387,360,758,121
1049,Alabama,Dekalb,831,194,225,412,764,67
1051,Alabama,Elmore,2659,578,1102,979,2279,380
1053,Alabama,Escambia,735,104,276,355,672,63
1055,Alabama,Etowah,1857,355,600,901,1726,131
1057,Alabama,Fayette,314,73,109,132,286,28
1059,Alabama,Franklin,293,55,80,158,279,14
1061,Alabama,Geneva,720,144,243,333,668,52
1063,Alabama,Greene,159,11,76,72,128,31
1065,Alabama,Hale,277,47,124,106,246,31
1067,Alabama,Henry,413,76,160,177,375,38
1069,Alabama,Houston,2696,590,1055,1051,2376,320
1071,Alabama,Jackson,724,140,197,387,674,50
1073,Alabama,Jefferson,10724,2199,4115,4409,9296,1428
1075,Alabama,Lamar,222,41,69,112,203,19
1077,Alabama,Lauderdale,1574,328,448,798,1463,111
1079,Alabama,Lawrence,382,76,103,203,351,31
1081,Alabama,Lee,3999,1161,1696,1142,3480,519
1083,Alabama,Limestone,2257,538,976,743,1976,281
1085,Alabama,Lowndes,230,42,108,80,193,37
1087,Alabama,Macon,532,80,230,222,468,64
1089,Alabama,Madison,11686,2755,5580,3351,10017,1669
1091,Alabama,Marengo,428,74,180,174,379,49
1093,Alabama,Marion,398,89,134,175,365,33
1095,Alabama,Marshall,1444,299,448,697,1332,112
1097,Alabama,Mobile,8234,1668,3018,3548,7292,942
1099,Alabama,Monroe,440,74,178,188,402,38
1101,Alabama,Montgomery,7674,1597,3483,2594,6155,1519
1103,Alabama,Morgan,1857,465,566,826,1704,153
1105,Alabama,Perry,147,19,81,47,125,22
20071,Kansas,Greeley,10,NA,NA,NA,NA,NA
1107,Alabama,Pickens,372,65,170,137,334,38
1109,Alabama,Pike,706,145,299,262,624,82
1111,Alabama,Randolph,420,57,125,238,376,44
1113,Alabama,Russell,3191,1076,1384,731,2567,624
1115,Alabama,Saint Clair,1385,312,444,629,1275,110
1117,Alabama,Shelby,2970,777,1027,1166,2617,353
1119,Alabama,Sumter,210,34,102,74,184,26
1121,Alabama,Talladega,1482,272,534,676,1311,171
1123,Alabama,Tallapoosa,1028,166,346,516,935,93
1125,Alabama,Tuscaloosa,3658,904,1427,1327,3145,513
1127,Alabama,Walker,1078,219,291,568,1004,74
1129,Alabama,Washington,241,35,75,131,225,16
1131,Alabama,Wilcox,157,19,67,71,NA,NA
1133,Alabama,Winston,379,61,136,182,352,27
2013,Alaska,Aleutians East,NA,NA,NA,NA,NA,NA
2016,Alaska,Aleutians West,35,NA,NA,15,NA,NA
2020,Alaska,Anchorage,10388,3511,4374,2503,8811,1577
2050,Alaska,Bethel,91,19,44,28,NA,NA
2060,Alaska,Bristol Bay,18,NA,NA,NA,NA,NA
2068,Alaska,Denali,65,15,31,19,NA,NA
2070,Alaska,Dillingham,43,NA,22,NA,NA,NA
2090,Alaska,Fairbanks North Star,4954,2101,2051,802,4176,778
2100,Alaska,Haines,49,NA,NA,27,NA,NA
2105,Alaska,Hoonah Angoon,38,NA,NA,31,NA,NA
2110,Alaska,Juneau,502,125,212,165,452,50
2122,Alaska,Kenai Peninsula,1426,273,443,710,1283,143
2130,Alaska,Ketchikan Gateway,255,50,109,96,233,22
2150,Alaska,Kodiak Island,383,94,213,76,334,49
2158,Alaska,Kusilvak,28,NA,NA,16,NA,NA
2164,Alaska,Lake And Peninsula,16,NA,NA,10,NA,NA
2170,Alaska,Matanuska-Susitna,3760,1163,1522,1075,3295,465
2180,Alaska,Nome,66,NA,NA,39,NA,NA
2185,Alaska,North Slope,34,NA,NA,18,NA,NA
2188,Alaska,Northwest Arctic,33,NA,NA,16,NA,NA
2195,Alaska,Petersburg,57,NA,NA,30,NA,NA
2198,Alaska,Prince Of Wales Hyder,111,15,27,69,NA,NA
2220,Alaska,Sitka,138,26,57,55,126,12
2230,Alaska,Skagway,14,NA,NA,NA,NA,NA
2240,Alaska,Southeast Fairbanks,259,59,121,79,236,23
2261,Alaska,Valdez Cordova,194,41,61,92,NA,NA
2275,Alaska,Wrangell,47,NA,NA,27,NA,NA
2282,Alaska,Yakutat,NA,NA,NA,NA,NA,NA
2290,Alaska,Yukon Koyukuk,44,NA,NA,26,NA,NA
4001,Arizona,Apache,753,142,197,414,679,74
4003,Arizona,Cochise,7481,1950,2923,2608,6361,1120
4005,Arizona,Coconino,1871,564,514,793,1674,197
4007,Arizona,Gila,1070,127,190,753,997,73
4009,Arizona,Graham,424,95,117,212,397,27
4011,Arizona,Greenlee,122,36,24,62,NA,NA
4012,Arizona,La Paz,582,42,97,443,558,24
4013,Arizona,Maricopa,65815,20543,19920,25352,58579,7236
4015,Arizona,Mohave,5434,776,1229,3429,5060,374
4017,Arizona,Navajo,1751,299,426,1026,1623,128
4019,Arizona,Pima,22491,5758,7374,9359,19766,2725
4021,Arizona,Pinal,8370,1961,2127,4282,7650,720
4023,Arizona,Santa Cruz,451,108,134,209,417,34
4025,Arizona,Yavapai,5800,963,1422,3415,5302,498
4027,Arizona,Yuma,4695,1484,1404,1806,4248,447
5001,Arkansas,Arkansas,234,34,86,114,220,14
5003,Arkansas,Ashley,271,53,94,124,256,15
5005,Arkansas,Baxter,999,177,288,534,931,68
5007,Arkansas,Benton,3714,1163,1106,1445,3368,346
5009,Arkansas,Boone,622,132,189,301,573,49
5011,Arkansas,Bradley,146,25,49,72,135,11
5013,Arkansas,Calhoun,70,15,27,28,NA,NA
5015,Arkansas,Carroll,445,69,131,245,413,32
5017,Arkansas,Chicot,149,22,54,73,133,16
5019,Arkansas,Clark,313,76,91,146,291,22
5021,Arkansas,Clay,264,37,88,139,252,12
5023,Arkansas,Cleburne,566,90,169,307,507,59
5025,Arkansas,Cleveland,116,26,33,57,106,10
5027,Arkansas,Columbia,296,66,103,127,266,30
5029,Arkansas,Conway,374,54,121,199,346,28
5031,Arkansas,Craighead,1373,392,417,564,1266,107
5033,Arkansas,Crawford,1108,283,338,487,1025,83
5035,Arkansas,Crittenden,690,163,279,248,607,83
5037,Arkansas,Cross,254,50,102,102,236,18
5039,Arkansas,Dallas,116,23,31,62,106,10
5041,Arkansas,Desha,173,38,55,80,154,19
5043,Arkansas,Drew,256,58,91,107,227,29
5045,Arkansas,Faulkner,2023,600,701,722,1819,204
5047,Arkansas,Franklin,293,73,94,126,277,16
5049,Arkansas,Fulton,295,46,72,177,280,15
5051,Arkansas,Garland,1928,343,679,906,1743,185
5053,Arkansas,Grant,291,70,89,132,267,24
5055,Arkansas,Greene,757,179,210,368,712,45
5057,Arkansas,Hempstead,278,46,95,137,254,24
5059,Arkansas,Hot Spring,496,87,177,232,449,47
5061,Arkansas,Howard,171,26,65,80,156,15
5063,Arkansas,Independence,518,129,150,239,486,32
5065,Arkansas,Izard,285,49,66,170,275,10
5067,Arkansas,Jackson,198,33,56,109,188,10
5069,Arkansas,Jefferson,1229,240,512,477,1101,128
5071,Arkansas,Johnson,393,90,120,183,363,30
5073,Arkansas,Lafayette,97,18,19,60,NA,NA
5075,Arkansas,Lawrence,220,41,70,109,207,13
5077,Arkansas,Lee,92,11,37,44,NA,NA
5079,Arkansas,Lincoln,162,33,48,81,152,10
5081,Arkansas,Little River,219,45,69,105,199,20
5083,Arkansas,Logan,386,68,129,189,361,25
5085,Arkansas,Lonoke,2342,677,1005,659,2059,283
5087,Arkansas,Madison,248,50,71,127,232,16
5089,Arkansas,Marion,371,73,101,197,341,30
5091,Arkansas,Miller,659,144,213,302,598,61
5093,Arkansas,Mississippi,614,124,215,275,564,50
5095,Arkansas,Monroe,137,21,39,77,NA,NA
5097,Arkansas,Montgomery,204,36,55,113,182,22
5099,Arkansas,Nevada,141,27,53,61,131,10
5101,Arkansas,Newton,128,18,40,70,113,15
5103,Arkansas,Ouachita,454,86,163,205,412,42
5105,Arkansas,Perry,188,31,62,95,170,18
5107,Arkansas,Phillips,245,34,102,109,218,27
5109,Arkansas,Pike,169,31,47,91,NA,NA
5111,Arkansas,Poinsett,303,58,96,149,281,22
5113,Arkansas,Polk,437,83,110,244,406,31
5115,Arkansas,Pope,984,270,306,408,906,78
5117,Arkansas,Prairie,105,17,25,63,NA,NA
5119,Arkansas,Pulaski,9963,2415,3903,3645,8492,1471
5121,Arkansas,Randolph,353,69,104,180,324,29
5123,Arkansas,Saint Francis,328,47,115,166,297,31
5125,Arkansas,Saline,2008,503,701,804,1798,210
5127,Arkansas,Scott,185,40,56,89,171,14
5129,Arkansas,Searcy,158,15,40,103,147,11
5131,Arkansas,Sebastian,2228,570,728,930,2033,195
5133,Arkansas,Sevier,175,42,49,84,NA,NA
5135,Arkansas,Sharp,441,80,136,225,402,39
5137,Arkansas,Stone,260,36,72,152,241,19
5139,Arkansas,Union,545,112,174,259,500,45
5141,Arkansas,Van Buren,435,52,134,249,397,38
5143,Arkansas,Washington,3099,911,1034,1154,2769,330
5145,Arkansas,White,1405,344,486,575,1293,112
5147,Arkansas,Woodruff,112,14,35,63,NA,NA
5149,Arkansas,Yell,292,61,91,140,270,22
6001,California,Alameda,11666,3223,3439,5004,10400,1266
6003,California,Alpine,13,NA,NA,NA,NA,NA
6005,California,Amador,792,154,178,460,729,63
6007,California,Butte,3317,890,793,1634,3060,257
6009,California,Calaveras,919,168,186,565,865,54
6011,California,Colusa,202,55,40,107,183,19
6013,California,Contra Costa,10439,2802,2983,4654,9480,959
6015,California,Del Norte,565,106,151,308,522,43
6017,California,El Dorado,3013,616,760,1637,2787,226
6019,California,Fresno,11678,3334,3158,5186,10797,881
6021,California,Glenn,325,86,56,183,301,24
6023,California,Humboldt,2058,459,521,1078,1899,159
6025,California,Imperial,2106,802,680,624,1967,139
6027,California,Inyo,335,64,64,207,313,22
6029,California,Kern,12071,4039,3669,4363,10994,1077
6031,California,Kings,3942,1435,1510,997,3379,563
6033,California,Lake,1453,226,343,884,1365,88
6035,California,Lassen,607,157,170,280,567,40
6037,California,Los Angeles,71255,23984,20557,26710,64667,6588
6039,California,Madera,1928,475,445,1008,1772,156
6041,California,Marin,1709,292,425,992,1573,136
6043,California,Mariposa,376,59,77,240,351,25
6045,California,Mendocino,1280,217,279,784,1192,88
6047,California,Merced,2840,755,732,1352,2621,219
6049,California,Modoc,179,27,50,102,161,18
6051,California,Mono,156,45,45,66,140,16
6053,California,Monterey,6132,1564,2112,2456,5386,746
6055,California,Napa,1766,306,420,1040,1653,113
31051,Nebraska,Dixon,119,13,21,85,NA,NA
6057,California,Nevada,1862,313,402,1147,1717,145
6059,California,Orange,26528,9093,6926,10509,24486,2042
6061,California,Placer,6221,1768,1696,2757,5618,603
6063,California,Plumas,490,69,115,306,459,31
6065,California,Riverside,37114,11878,12029,13206,33541,3573
6067,California,Sacramento,21131,5956,6305,8869,18761,2370
6069,California,San Benito,751,219,195,337,702,49
6071,California,San Bernardino,28457,9909,8427,10121,25643,2814
6073,California,San Diego,88830,35685,30580,22564,76847,11983
6075,California,San Francisco,5178,1442,1440,2296,4702,476
6077,California,San Joaquin,7758,2293,2250,3214,7048,710
