# source, target, id, weight
0,1,1030,1
0,2,1031,1
0,3,1032,1
0,4,1033,1
0,5,1034,1
0,6,1035,1
0,7,1036,1
0,8,1037,1
0,9,1038,1
0,10,1039,1
0,11,1040,1
0,12,1041,1
0,13,1042,1
0,14,1043,1
0,15,1044,1
0,16,1045,1
0,17,1046,1
0,18,1047,1
0,19,1048,1
0,20,1049,1
0,21,1050,1
0,22,1051,1
0,23,1052,1
0,24,1053,1
0,25,1054,1
0,26,1055,1
0,27,1056,1
0,28,1057,1
0,29,1058,1
0,30,1059,1
0,31,1060,1
0,32,1061,1
0,1,1062,2
0,33,1063,2
0,34,1064,2
0,35,1065,2
0,36,1066,2
0,37,1067,2
0,38,1068,2
0,39,1069,2
0,40,1070,2
0,41,1071,2
0,42,1072,2
0,30,1073,2
0,43,1074,-1
0,44,1075,-1
0,45,1076,-1
0,46,1077,-1
0,47,1078,-1
0,45,1079,-2
0,48,1080,-2
0,49,1081,-2
0,50,1082,-2
0,51,1083,-2
2,5,1736,1
2,27,1737,1
2,65,1738,1
2,21,1739,1
2,15,1740,1
2,8,1741,1
2,17,1742,1
2,66,1743,1
2,10,1744,1
2,59,1745,1
2,26,1746,1
2,21,1747,2
2,27,1748,2
2,48,1749,-2
2,47,1750,-2
2,50,1751,-2
2,51,1752,-2
3,40,1807,1
3,39,1808,1
3,33,1809,1
3,19,1810,1
3,89,1811,1
3,6,1812,1
3,38,1813,1
3,7,1814,1
3,98,1815,1
3,33,1816,2
3,51,1817,-1
3,78,1818,-1
3,79,1819,-1
3,93,1820,-1
3,79,1821,-2
4,40,1433,1
4,33,1434,1
4,7,1435,1
4,55,1436,1
4,25,1437,1
4,57,1438,1
4,70,1439,1
4,67,1440,1
4,39,1441,1
4,28,1442,1
4,29,1443,1
4,80,1444,1
4,68,1445,1
4,52,1446,1
4,56,1447,1
4,84,1448,1
4,70,1449,2
4,24,1450,-1
4,12,1451,-1
4,13,1452,-1
4,19,1453,-1
4,20,1454,-1
4,23,1455,-1
4,23,1456,-2
5,63,1868,1
5,27,1869,1
5,65,1870,1
5,15,1871,1
5,11,1872,1
5,6,1873,2
5,38,1874,2
5,22,1875,2
5,26,1876,2
5,82,1877,2
5,8,1878,2
5,10,1879,2
5,14,1880,2
5,27,1881,2
5,16,1882,-1
5,32,1883,-1
5,61,1884,-1
5,58,1885,-1
6,26,1084,1
6,5,1085,1
6,12,1086,1
6,27,1087,1
6,2,1088,1
6,33,1089,1
6,28,1090,1
6,38,1091,1
6,8,1092,1
6,23,1093,1
6,37,1094,1
6,52,1095,1
6,10,1096,1
6,19,1097,1
6,38,1098,2
6,22,1099,2
6,27,1100,2
7,53,1101,-2
8,18,1753,1
8,67,1754,1
8,68,1755,1
8,46,1756,2
8,97,1757,2
8,72,1758,2
8,51,1759,-1
8,76,1760,-1
8,44,1761,-1
8,50,1762,-1
8,48,1763,-1
8,47,1764,-1
8,76,1765,-2
9,26,1297,1
9,42,1298,1
9,5,1299,1
9,40,1300,1
9,27,1301,1
9,39,1302,1
9,29,1303,1
9,64,1304,1
9,21,1305,1
9,23,1306,1
9,10,1307,1
9,62,1308,1
9,1,1309,2
9,38,1310,2
9,19,1311,2
9,65,1312,2
9,17,1313,2
9,31,1314,2
9,2,1315,2
9,27,1316,2
9,0,1317,-1
9,28,1318,-1
9,54,1319,-1
9,4,1320,-1
9,55,1321,-1
9,25,1322,-1
9,24,1323,-1
10,63,1778,1
10,2,1779,1
10,12,1780,1
10,5,1781,1
10,21,1782,1
10,38,1783,1
10,46,1784,1
10,8,1785,1
10,22,1786,1
10,17,1787,1
10,82,1788,1
10,26,1789,2
10,14,1790,2
10,27,1791,2
10,5,1792,2
10,44,1793,-1
10,32,1794,-1
10,50,1795,-1
10,50,1796,-2
11,27,1566,1
11,14,1567,1
11,30,1568,1
11,82,1569,1
11,10,1570,1
11,62,1571,2
11,65,1572,2
11,66,1573,2
11,15,1574,2
12,42,1457,1
12,2,1458,1
12,5,1459,1
12,46,1460,1
12,8,1461,1
12,82,1462,1
12,10,1463,1
12,63,1464,1
12,14,1465,1
12,27,1466,1
12,64,1467,1
12,15,1468,1
12,16,1469,1
12,17,1470,1
12,62,1471,1
12,26,1472,1
